province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Buon Me Thuot,22,18,7,ENE,1.3,92,66,1013,2009-01-05
Buon Me Thuot,31,19,8,E,0.0,65,10,1011,2010-01-05
Buon Me Thuot,27,18,8,ENE,0.2,84,47,1011,2011-01-05
Buon Me Thuot,28,17,9,ENE,0.0,82,41,1015,2012-01-05
Buon Me Thuot,25,18,8,ENE,0.1,80,45,1010,2013-01-05
Buon Me Thuot,28,17,9,ENE,0.0,73,24,1013,2014-01-05
Buon Me Thuot,32,19,5,ENE,0.3,77,34,1011,2015-01-05
Buon Me Thuot,31,20,6,E,0.1,71,52,1013,2016-01-05
Buon Me Thuot,29,19,9,ENE,0.0,78,23,1012,2017-01-05
Buon Me Thuot,32,19,5,E,1.5,79,48,1010,2018-01-05
Buon Me Thuot,31,20,11,E,0.0,77,19,1015,2019-01-05
Buon Me Thuot,27,17,12,ENE,0.0,75,16,1014,2020-01-05
Buon Me Thuot,26,21,14,ENE,0.4,75,61,1012,2021-01-05
Buon Me Thuot,19,18,13,ENE,8.6,96,97,1013,2009-01-02
Buon Me Thuot,29,18,8,E,0.1,75,29,1012,2010-01-02
Buon Me Thuot,28,15,9,ENE,0.0,80,42,1012,2011-01-02
Buon Me Thuot,28,18,10,ENE,0.2,82,42,1014,2012-01-02
Buon Me Thuot,30,17,9,ENE,0.0,77,32,1013,2013-01-02
Buon Me Thuot,31,16,6,ENE,0.0,75,31,1013,2014-01-02
Buon Me Thuot,24,14,9,ENE,0.1,83,48,1015,2015-01-02
Buon Me Thuot,28,20,8,ENE,0.2,80,48,1016,2016-01-02
Buon Me Thuot,28,21,10,ENE,0.8,81,78,1013,2017-01-02
Buon Me Thuot,27,19,9,ENE,0.0,76,27,1012,2018-01-02
Buon Me Thuot,21,20,10,NE,8.7,88,77,1015,2019-01-02
Buon Me Thuot,28,20,14,ENE,0.7,75,51,1017,2020-01-02
Buon Me Thuot,25,17,13,ENE,0.0,75,47,1013,2021-01-02
Buon Me Thuot,19,17,10,ENE,10.9,96,93,1014,2009-01-03
Buon Me Thuot,28,20,9,E,0.0,74,15,1012,2010-01-03
Buon Me Thuot,29,17,8,ENE,0.0,80,49,1012,2011-01-03
Buon Me Thuot,28,17,9,ENE,0.0,77,18,1014,2012-01-03
Buon Me Thuot,30,18,10,ENE,0.0,79,33,1014,2013-01-03
Buon Me Thuot,32,15,6,ENE,0.0,73,29,1013,2014-01-03
Buon Me Thuot,27,16,8,ENE,0.0,82,48,1014,2015-01-03
Buon Me Thuot,31,18,6,ENE,2.8,81,43,1016,2016-01-03
Buon Me Thuot,26,19,11,ENE,0.3,79,46,1013,2017-01-03
Buon Me Thuot,29,18,8,ENE,0.0,78,29,1011,2018-01-03
Buon Me Thuot,27,20,11,ENE,0.4,82,56,1015,2019-01-03
Buon Me Thuot,27,20,13,ENE,0.1,75,50,1016,2020-01-03
Buon Me Thuot,26,19,12,ENE,0.0,78,45,1013,2021-01-03
Buon Me Thuot,21,17,8,ENE,3.8,93,73,1013,2009-01-04
Buon Me Thuot,30,18,9,E,0.0,69,9,1011,2010-01-04
Buon Me Thuot,24,18,8,ENE,0.1,85,70,1012,2011-01-04
Buon Me Thuot,26,16,9,ENE,0.0,80,20,1015,2012-01-04
Buon Me Thuot,26,19,10,ENE,0.0,80,30,1012,2013-01-04
Buon Me Thuot,30,18,9,ENE,0.0,75,19,1013,2014-01-04
Buon Me Thuot,29,18,7,ENE,0.0,82,50,1012,2015-01-04
Buon Me Thuot,26,19,8,ENE,0.1,83,68,1014,2016-01-04
Buon Me Thuot,27,20,8,ENE,0.3,81,56,1012,2017-01-04
Buon Me Thuot,25,20,4,E,0.7,86,55,1010,2018-01-04
Buon Me Thuot,29,20,12,ENE,0.2,80,37,1016,2019-01-04
Buon Me Thuot,26,19,12,ENE,0.0,75,46,1014,2020-01-04
Buon Me Thuot,26,20,13,ENE,0.5,78,81,1012,2021-01-04
Buon Me Thuot,20,19,11,ENE,13.9,97,96,1013,2009-01-01
Buon Me Thuot,28,18,9,E,0.0,74,16,1012,2010-01-01
Buon Me Thuot,27,15,9,ENE,0.0,80,45,1011,2011-01-01
Buon Me Thuot,27,19,11,ENE,0.3,84,44,1014,2012-01-01
Buon Me Thuot,28,17,10,ENE,0.0,79,27,1013,2013-01-01
Buon Me Thuot,27,16,9,ENE,0.1,78,32,1014,2014-01-01
Buon Me Thuot,24,15,11,ENE,0.2,81,24,1015,2015-01-01
Buon Me Thuot,27,18,11,ENE,0.0,76,52,1018,2016-01-01
Buon Me Thuot,26,21,10,ENE,2.0,83,86,1014,2017-01-01
Buon Me Thuot,26,19,11,ENE,0.4,72,38,1012,2018-01-01
Buon Me Thuot,21,20,10,NE,6.8,85,68,1015,2019-01-01
Buon Me Thuot,28,19,12,ENE,0.4,75,46,1017,2020-01-01
Buon Me Thuot,23,17,13,ENE,0.0,73,64,1014,2021-01-01
Buon Me Thuot,25,18,9,ENE,0.2,83,44,1015,2009-01-07
Buon Me Thuot,30,20,11,E,0.0,70,10,1014,2010-01-07
Buon Me Thuot,26,17,11,ENE,0.5,83,60,1013,2011-01-07
Buon Me Thuot,28,18,8,ENE,0.2,80,61,1014,2012-01-07
Buon Me Thuot,22,20,7,NE,4.3,94,67,1011,2013-01-07
Buon Me Thuot,31,16,7,ENE,0.0,71,10,1012,2014-01-07
Buon Me Thuot,29,19,9,ENE,0.0,78,26,1012,2015-01-07
Buon Me Thuot,31,19,9,E,0.0,74,10,1016,2016-01-07
Buon Me Thuot,30,19,8,E,0.5,79,34,1010,2017-01-07
Buon Me Thuot,34,20,4,E,1.1,74,24,1012,2018-01-07
Buon Me Thuot,29,19,12,E,0.0,78,19,1015,2019-01-07
Buon Me Thuot,32,19,11,E,0.2,71,28,1013,2020-01-07
Buon Me Thuot,27,20,14,ENE,0.0,74,48,1011,2021-01-07
Buon Me Thuot,21,14,9,ENE,0.2,81,52,1016,2009-01-11
