province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Ca Mau,28,22,21,NNE,1.1,83,67,1010,2009-01-02
Ca Mau,29,26,23,ENE,2.7,72,52,1010,2010-01-02
Ca Mau,30,24,18,E,0.1,73,25,1009,2011-01-02
Ca Mau,30,24,28,E,0.0,76,32,1011,2012-01-02
Ca Mau,31,25,18,ENE,0.0,71,32,1010,2013-01-02
Ca Mau,29,24,13,E,0.0,75,36,1012,2014-01-02
Ca Mau,29,22,9,E,0.3,72,52,1013,2015-01-02
Ca Mau,32,25,11,NE,0.0,67,25,1014,2016-01-02
Ca Mau,30,25,23,ENE,3.1,78,37,1010,2017-01-02
Ca Mau,31,23,14,ENE,0.0,70,18,1009,2018-01-02
Ca Mau,23,22,24,SE,19.8,85,94,1011,2019-01-02
Ca Mau,32,25,18,ENE,0.0,66,12,1014,2020-01-02
Ca Mau,28,22,9,NNE,0.0,72,67,1010,2021-01-02
Ca Mau,30,23,11,NE,0.4,77,18,1010,2009-01-05
Ca Mau,31,26,20,E,1.4,72,20,1009,2010-01-05
Ca Mau,30,24,27,E,0.6,76,56,1008,2011-01-05
Ca Mau,31,23,14,E,0.1,72,10,1012,2012-01-05
Ca Mau,29,24,11,E,0.6,66,33,1008,2013-01-05
Ca Mau,30,24,16,E,10.3,77,46,1010,2014-01-05
Ca Mau,30,25,9,NE,16.4,78,43,1010,2015-01-05
Ca Mau,32,26,14,ESE,1.2,72,63,1012,2016-01-05
Ca Mau,30,25,27,E,0.0,76,26,1009,2017-01-05
Ca Mau,30,25,10,SE,9.8,82,49,1008,2018-01-05
Ca Mau,30,25,18,E,2.0,83,52,1013,2019-01-05
Ca Mau,31,24,12,E,0.0,67,19,1011,2020-01-05
Ca Mau,25,23,9,NE,15.1,89,91,1010,2021-01-05
Ca Mau,28,22,13,NE,1.9,80,30,1011,2009-01-04
Ca Mau,32,26,22,E,0.0,71,44,1009,2010-01-04
Ca Mau,31,25,16,ENE,3.7,77,64,1009,2011-01-04
Ca Mau,29,23,22,E,0.0,74,14,1012,2012-01-04
Ca Mau,31,25,12,E,2.4,74,45,1009,2013-01-04
Ca Mau,31,25,10,E,4.3,75,50,1011,2014-01-04
Ca Mau,31,24,9,ENE,8.8,72,55,1010,2015-01-04
Ca Mau,30,25,14,E,1.3,77,51,1011,2016-01-04
Ca Mau,29,25,23,E,1.7,75,45,1009,2017-01-04
Ca Mau,32,25,5,SSE,0.0,77,24,1008,2018-01-04
Ca Mau,28,25,22,E,33.4,86,65,1013,2019-01-04
Ca Mau,32,24,14,E,0.0,67,16,1012,2020-01-04
Ca Mau,31,24,8,ENE,8.3,79,55,1009,2021-01-04
Ca Mau,30,25,12,ENE,3.8,79,33,1012,2009-01-07
Ca Mau,32,26,25,E,0.0,67,7,1012,2010-01-07
Ca Mau,30,24,24,ENE,0.0,70,42,1010,2011-01-07
Ca Mau,30,24,18,E,0.4,75,49,1012,2012-01-07
Ca Mau,27,24,19,NE,4.2,82,70,1009,2013-01-07
Ca Mau,31,23,11,ENE,0.0,69,49,1010,2014-01-07
Ca Mau,31,24,22,E,1.4,76,65,1010,2015-01-07
Ca Mau,32,25,19,E,0.0,74,29,1014,2016-01-07
Ca Mau,30,25,27,E,0.9,79,60,1007,2017-01-07
Ca Mau,32,25,12,ESE,1.0,78,37,1010,2018-01-07
Ca Mau,30,25,17,E,0.3,80,30,1012,2019-01-07
Ca Mau,33,24,15,E,0.6,69,55,1011,2020-01-07
Ca Mau,31,24,15,E,0.9,73,62,1009,2021-01-07
Ca Mau,30,24,11,NE,0.2,77,22,1011,2009-01-06
Ca Mau,31,26,22,E,5.3,74,27,1010,2010-01-06
Ca Mau,31,24,27,ENE,0.1,72,39,1009,2011-01-06
Ca Mau,31,24,10,ESE,1.6,74,18,1013,2012-01-06
Ca Mau,25,22,16,E,12.3,84,82,1009,2013-01-06
Ca Mau,30,23,16,E,0.6,73,29,1010,2014-01-06
Ca Mau,30,24,16,ENE,6.4,79,40,1009,2015-01-06
Ca Mau,32,26,16,ESE,1.4,75,27,1013,2016-01-06
Ca Mau,28,25,27,E,1.3,80,74,1008,2017-01-06
Ca Mau,31,25,13,ESE,0.3,81,39,1009,2018-01-06
Ca Mau,30,25,17,E,1.5,80,46,1012,2019-01-06
Ca Mau,33,23,9,ENE,0.0,65,37,1012,2020-01-06
Ca Mau,29,23,13,ENE,5.3,81,61,1009,2021-01-06
Ca Mau,29,23,11,NE,0.6,78,25,1013,2009-01-08
Ca Mau,32,25,20,E,0.0,65,21,1011,2010-01-08
Ca Mau,31,24,17,ENE,0.0,71,27,1009,2011-01-08
Ca Mau,30,24,16,ENE,0.6,74,45,1013,2012-01-08
Ca Mau,30,24,11,SE,0.5,78,45,1009,2013-01-08
Ca Mau,29,25,12,ENE,0.5,69,67,1011,2014-01-08
Ca Mau,31,24,27,E,0.4,73,16,1011,2015-01-08
Ca Mau,32,25,21,E,0.1,74,35,1013,2016-01-08
Ca Mau,30,25,26,E,0.9,77,41,1007,2017-01-08
Ca Mau,31,25,11,ESE,4.0,80,38,1011,2018-01-08
Ca Mau,30,25,17,E,1.6,79,26,1012,2019-01-08
Ca Mau,33,24,17,E,0.0,68,24,1010,2020-01-08
Ca Mau,30,24,15,E,2.5,75,47,1009,2021-01-08
Ca Mau,28,21,16,NE,0.0,64,24,1015,2009-01-12
Ca Mau,31,24,19,E,0.7,73,15,1013,2010-01-12
Ca Mau,32,24,10,E,0.0,69,22,1008,2011-01-12
Ca Mau,31,24,23,NE,1.1,73,55,1010,2012-01-12
Ca Mau,31,25,8,E,0.4,75,21,1011,2013-01-12
Ca Mau,31,24,13,E,1.5,72,47,1012,2014-01-12
Ca Mau,31,24,14,E,5.6,76,25,1011,2015-01-12
Ca Mau,31,26,14,E,0.2,73,17,1012,2016-01-12
Ca Mau,31,25,8,SSE,0.4,78,41,1009,2017-01-12
Ca Mau,30,23,14,ENE,0.0,68,27,1012,2018-01-12
Ca Mau,30,25,16,E,7.5,75,31,1012,2019-01-12
Ca Mau,31,23,9,ESE,0.0,75,39,1010,2020-01-12
Ca Mau,27,23,11,NE,0.1,73,55,1011,2021-01-12
Ca Mau,28,22,17,NNE,0.0,70,17,1013,2009-01-09
Ca Mau,31,25,16,E,1.4,69,34,1011,2010-01-09
Ca Mau,31,24,13,E,0.0,70,37,1009,2011-01-09
Ca Mau,30,24,17,E,0.8,73,66,1011,2012-01-09
Ca Mau,29,26,6,SW,26.2,80,58,1009,2013-01-09
Ca Mau,25,23,22,ENE,2.1,76,73,1011,2014-01-09
Ca Mau,31,24,25,E,0.0,70,20,1012,2015-01-09
Ca Mau,32,25,22,E,0.3,73,22,1013,2016-01-09
Ca Mau,31,25,24,E,2.0,75,42,1008,2017-01-09
Ca Mau,32,25,11,E,1.4,79,23,1011,2018-01-09
Ca Mau,31,24,16,E,0.0,77,14,1012,2019-01-09
Ca Mau,32,24,14,E,0.0,69,26,1010,2020-01-09
Ca Mau,29,23,14,ENE,0.0,70,45,1010,2021-01-09
Ca Mau,28,22,19,NE,0.0,68,42,1016,2009-01-13
Ca Mau,31,25,23,E,0.0,68,11,1014,2010-01-13
Ca Mau,31,24,7,ESE,11.5,76,30,1009,2011-01-13
Ca Mau,28,25,22,ENE,1.8,79,81,1010,2012-01-13
Ca Mau,30,25,10,ESE,1.8,76,18,1011,2013-01-13
Ca Mau,30,24,14,E,0.8,74,46,1012,2014-01-13
Ca Mau,30,24,13,ENE,0.6,73,42,1012,2015-01-13
Ca Mau,33,26,22,E,5.5,74,46,1011,2016-01-13
Ca Mau,32,25,13,W,0.8,75,21,1008,2017-01-13
Ca Mau,29,22,11,NE,0.0,66,33,1012,2018-01-13
Ca Mau,32,25,16,E,0.2,74,21,1011,2019-01-13
Ca Mau,32,24,14,E,0.0,68,27,1009,2020-01-13
Ca Mau,28,21,8,ENE,0.4,74,58,1012,2021-01-13
Ca Mau,27,20,21,NNE,0.0,64,29,1013,2009-01-11
Ca Mau,27,25,11,ESE,0.6,80,27,1012,2010-01-11
Ca Mau,31,23,7,ENE,0.2,66,12,1008,2011-01-11
Ca Mau,31,24,17,NE,7.8,73,53,1010,2012-01-11
Ca Mau,30,25,13,E,8.9,80,25,1010,2013-01-11
Ca Mau,31,23,19,ENE,0.0,68,36,1013,2014-01-11
Ca Mau,31,24,16,ENE,5.7,74,33,1011,2015-01-11
Ca Mau,32,25,8,ESE,0.1,74,36,1012,2016-01-11
Ca Mau,30,24,17,ESE,2.2,78,32,1010,2017-01-11
Ca Mau,31,24,13,ENE,0.1,72,25,1011,2018-01-11
Ca Mau,30,24,16,E,1.3,77,23,1012,2019-01-11
Ca Mau,31,24,7,ESE,0.2,74,52,1010,2020-01-11
Ca Mau,29,23,8,ENE,0.0,72,49,1010,2021-01-11
Ca Mau,23,22,16,NNE,8.6,87,67,1011,2009-01-03
Ca Mau,30,26,22,E,11.4,76,49,1010,2010-01-03
Ca Mau,31,23,13,ENE,0.5,75,32,1009,2011-01-03
Ca Mau,30,24,24,E,0.0,74,17,1012,2012-01-03
Ca Mau,32,25,18,ENE,0.5,70,21,1011,2013-01-03
Ca Mau,31,24,7,ESE,0.0,73,41,1011,2014-01-03
Ca Mau,30,23,12,ESE,0.7,68,46,1012,2015-01-03
Ca Mau,31,26,10,ENE,9.0,72,60,1014,2016-01-03
Ca Mau,30,25,25,ENE,0.0,75,47,1010,2017-01-03
Ca Mau,32,24,9,E,0.0,74,28,1009,2018-01-03
Ca Mau,26,23,27,NE,21.3,88,98,1011,2019-01-03
Ca Mau,32,25,18,E,0.0,64,27,1013,2020-01-03
Ca Mau,29,23,10,SE,0.8,77,57,1010,2021-01-03
Ca Mau,28,21,17,NNE,0.0,66,19,1016,2009-01-15
Ca Mau,31,24,14,ENE,0.0,65,34,1015,2010-01-15
Ca Mau,30,24,9,E,0.0,74,29,1010,2011-01-15
Ca Mau,30,24,21,ESE,5.4,79,43,1007,2012-01-15
Ca Mau,30,24,18,E,1.1,77,48,1012,2013-01-15
Ca Mau,29,23,15,ENE,0.0,67,6,1014,2014-01-15
Ca Mau,30,22,12,ENE,0.0,66,1,1014,2015-01-15
Ca Mau,32,26,20,ESE,0.1,74,28,1010,2016-01-15
Ca Mau,31,25,12,ESE,28.5,80,49,1010,2017-01-15
Ca Mau,29,24,3,SE,1.2,74,75,1010,2018-01-15
Ca Mau,32,25,7,ENE,5.9,74,27,1010,2019-01-15
Ca Mau,31,23,15,E,0.0,70,3,1011,2020-01-15
