province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Cam Pha,17,13,24,NE,0.0,58,17,1024,2009-01-02
Cam Pha,18,18,18,NNE,3.7,90,91,1016,2010-01-02
Cam Pha,20,17,23,E,7.1,88,93,1016,2011-01-02
Cam Pha,18,17,17,NE,2.1,79,92,1019,2012-01-02
Cam Pha,19,15,14,NE,1.2,74,72,1017,2013-01-02
Cam Pha,19,16,8,S,0.0,73,5,1014,2014-01-02
Cam Pha,19,17,16,ENE,0.0,64,1,1022,2015-01-02
Cam Pha,20,16,8,ENE,0.0,79,19,1021,2016-01-02
Cam Pha,21,18,12,NE,0.0,83,50,1019,2017-01-02
Cam Pha,20,17,12,NE,0.4,87,56,1017,2018-01-02
Cam Pha,15,12,8,SSE,0.6,67,77,1026,2019-01-02
Cam Pha,21,17,11,ENE,0.2,91,74,1021,2020-01-02
Cam Pha,16,11,10,NE,0.0,53,10,1021,2021-01-02
Cam Pha,21,19,16,E,0.3,82,40,1017,2009-01-05
Cam Pha,24,22,15,S,8.1,90,38,1010,2010-01-05
Cam Pha,17,13,14,NE,0.4,82,90,1017,2011-01-05
Cam Pha,14,10,15,NE,2.1,82,68,1023,2012-01-05
Cam Pha,15,11,16,NE,0.3,81,59,1018,2013-01-05
Cam Pha,20,17,14,E,0.4,71,21,1015,2014-01-05
Cam Pha,21,19,8,SE,2.9,93,72,1011,2015-01-05
Cam Pha,21,17,9,SE,0.1,85,37,1015,2016-01-05
Cam Pha,22,18,7,ESE,0.0,85,30,1015,2017-01-05
Cam Pha,20,18,15,ENE,1.8,93,98,1014,2018-01-05
Cam Pha,21,18,12,ENE,1.4,87,88,1021,2019-01-05
Cam Pha,21,19,13,ENE,0.3,87,72,1017,2020-01-05
Cam Pha,18,15,13,NE,0.3,65,99,1019,2021-01-05
Cam Pha,17,13,25,NNE,0.0,68,30,1024,2009-01-01
Cam Pha,20,19,22,ENE,1.3,91,88,1015,2010-01-01
Cam Pha,19,18,22,ENE,2.6,78,79,1015,2011-01-01
Cam Pha,19,16,15,NE,0.0,66,86,1021,2012-01-01
Cam Pha,17,14,11,NE,0.0,55,24,1019,2013-01-01
Cam Pha,19,15,8,ESE,0.0,56,0,1018,2014-01-01
Cam Pha,20,16,16,ENE,0.0,55,0,1023,2015-01-01
Cam Pha,18,15,11,NE,0.2,77,42,1025,2016-01-01
Cam Pha,20,16,11,NE,9.2,78,75,1020,2017-01-01
Cam Pha,19,16,12,NE,0.0,78,70,1019,2018-01-01
Cam Pha,15,12,9,ESE,0.0,69,88,1028,2019-01-01
Cam Pha,19,16,17,ENE,0.3,84,100,1023,2020-01-01
Cam Pha,16,9,13,NE,0.0,44,11,1024,2021-01-01
Cam Pha,17,14,20,NE,3.7,71,38,1021,2009-01-03
Cam Pha,21,17,15,ENE,0.6,83,49,1016,2010-01-03
Cam Pha,16,14,24,NE,1.2,84,84,1018,2011-01-03
Cam Pha,19,15,23,ENE,7.9,90,99,1018,2012-01-03
Cam Pha,15,12,21,NNE,7.3,88,92,1022,2013-01-03
Cam Pha,20,17,10,ENE,0.0,83,42,1016,2014-01-03
Cam Pha,19,17,16,ENE,0.2,80,48,1019,2015-01-03
Cam Pha,20,17,6,SSW,0.0,81,1,1018,2016-01-03
Cam Pha,22,19,9,NE,0.0,83,19,1018,2017-01-03
Cam Pha,20,18,14,NE,1.0,88,82,1017,2018-01-03
Cam Pha,15,13,9,NNE,1.9,81,100,1024,2019-01-03
Cam Pha,21,16,13,ENE,0.7,88,86,1020,2020-01-03
Cam Pha,16,9,14,NE,2.5,70,83,1020,2021-01-03
Cam Pha,17,13,24,NNE,0.0,72,42,1026,2009-01-08
Cam Pha,18,13,20,ENE,5.6,81,51,1020,2010-01-08
Cam Pha,16,11,16,NE,0.0,70,70,1020,2011-01-08
Cam Pha,16,13,16,NE,0.9,75,87,1024,2012-01-08
Cam Pha,16,14,17,NE,0.0,74,71,1018,2013-01-08
Cam Pha,20,16,16,NE,0.9,84,68,1017,2014-01-08
Cam Pha,17,16,18,NE,0.2,66,93,1023,2015-01-08
Cam Pha,19,18,18,ENE,2.3,90,84,1018,2016-01-08
Cam Pha,23,19,10,ENE,0.0,92,47,1013,2017-01-08
Cam Pha,20,11,21,NE,7.2,88,100,1016,2018-01-08
Cam Pha,18,17,18,ENE,1.3,89,97,1020,2019-01-08
Cam Pha,23,19,10,NE,0.7,86,42,1016,2020-01-08
Cam Pha,9,4,13,E,0.2,66,100,1025,2021-01-08
Cam Pha,17,13,23,NNE,0.0,52,19,1028,2009-01-09
Cam Pha,22,17,15,ESE,2.8,89,89,1015,2010-01-09
Cam Pha,15,13,18,NNE,0.5,66,74,1021,2011-01-09
Cam Pha,18,13,16,ENE,0.2,74,64,1021,2012-01-09
Cam Pha,14,13,16,ENE,0.4,71,89,1021,2013-01-09
Cam Pha,17,14,19,NE,0.1,71,58,1022,2014-01-09
Cam Pha,18,15,19,NE,0.1,63,83,1024,2015-01-09
Cam Pha,21,17,15,NE,1.3,92,81,1016,2016-01-09
Cam Pha,22,19,15,ENE,0.0,83,55,1014,2017-01-09
Cam Pha,14,10,16,ENE,2.7,70,81,1024,2018-01-09
Cam Pha,17,16,18,NE,1.5,86,97,1021,2019-01-09
Cam Pha,23,20,7,E,1.0,88,71,1015,2020-01-09
Cam Pha,12,7,12,NE,0.0,47,77,1024,2021-01-09
Cam Pha,22,18,22,ENE,0.1,82,23,1018,2009-01-06
Cam Pha,17,16,25,NE,12.8,88,94,1017,2010-01-06
Cam Pha,17,13,18,NNE,1.3,73,90,1022,2011-01-06
Cam Pha,16,12,15,NE,0.2,76,89,1023,2012-01-06
Cam Pha,16,12,14,NE,0.0,70,54,1019,2013-01-06
Cam Pha,20,19,11,SE,1.8,92,64,1013,2014-01-06
Cam Pha,21,20,11,E,1.1,93,77,1013,2015-01-06
Cam Pha,22,18,9,ENE,0.0,89,18,1017,2016-01-06
Cam Pha,22,19,7,ESE,0.0,86,32,1014,2017-01-06
Cam Pha,18,18,17,ENE,0.6,88,98,1012,2018-01-06
Cam Pha,19,18,12,ENE,1.0,82,100,1021,2019-01-06
Cam Pha,23,19,9,ENE,1.4,83,49,1016,2020-01-06
Cam Pha,18,17,15,ENE,0.0,60,100,1019,2021-01-06
Cam Pha,16,14,27,NNE,0.1,79,65,1023,2009-01-07
Cam Pha,16,15,27,NE,4.6,90,99,1019,2010-01-07
Cam Pha,15,11,15,NE,0.0,64,76,1023,2011-01-07
Cam Pha,18,14,16,ENE,0.4,78,76,1020,2012-01-07
Cam Pha,16,12,14,NE,0.0,74,34,1018,2013-01-07
Cam Pha,20,19,10,SSE,0.7,93,70,1013,2014-01-07
Cam Pha,21,17,19,NE,1.0,79,83,1019,2015-01-07
Cam Pha,21,18,16,NE,0.6,87,66,1019,2016-01-07
Cam Pha,23,19,7,ENE,0.0,86,59,1012,2017-01-07
Cam Pha,20,18,12,NE,4.9,94,95,1011,2018-01-07
Cam Pha,19,18,13,NE,2.3,91,100,1020,2019-01-07
Cam Pha,23,19,8,NE,0.1,86,43,1015,2020-01-07
Cam Pha,15,13,20,NE,0.8,73,100,1020,2021-01-07
Cam Pha,18,12,20,NE,0.0,43,3,1030,2009-01-13
Cam Pha,16,13,22,NE,0.1,72,70,1025,2010-01-13
Cam Pha,17,13,10,NE,0.0,67,49,1017,2011-01-13
Cam Pha,18,16,13,NE,5.5,87,96,1018,2012-01-13
Cam Pha,17,12,8,SSE,0.0,70,8,1017,2013-01-13
Cam Pha,16,12,15,NNE,0.0,67,38,1025,2014-01-13
Cam Pha,18,13,11,SSE,0.0,62,0,1023,2015-01-13
Cam Pha,16,15,20,NE,1.8,85,94,1018,2016-01-13
Cam Pha,17,13,12,ESE,2.9,80,96,1017,2017-01-13
Cam Pha,17,15,19,NE,0.0,59,47,1023,2018-01-13
Cam Pha,21,19,12,NE,0.8,89,77,1017,2019-01-13
Cam Pha,20,16,10,NE,0.2,81,86,1015,2020-01-13
Cam Pha,17,11,9,SSE,0.0,46,15,1018,2021-01-13
Cam Pha,18,13,19,NE,0.0,43,3,1028,2009-01-14
Cam Pha,17,13,16,NE,0.6,79,87,1024,2010-01-14
Cam Pha,19,15,14,ENE,0.0,73,61,1017,2011-01-14
Cam Pha,20,17,15,ENE,6.1,92,94,1013,2012-01-14
Cam Pha,19,16,14,ENE,0.0,72,34,1018,2013-01-14
Cam Pha,18,10,12,ESE,0.0,56,1,1024,2014-01-14
Cam Pha,18,14,10,ENE,0.0,64,0,1023,2015-01-14
Cam Pha,17,15,20,NE,13.8,92,98,1016,2016-01-14
Cam Pha,18,15,14,NE,0.0,75,89,1017,2017-01-14
Cam Pha,17,15,17,NE,1.7,76,80,1021,2018-01-14
Cam Pha,22,19,14,ENE,2.5,89,55,1016,2019-01-14
Cam Pha,22,17,10,ESE,5.2,89,77,1014,2020-01-14
Cam Pha,19,12,7,ESE,0.0,62,9,1017,2021-01-14
Cam Pha,20,16,15,ENE,0.2,80,44,1018,2009-01-04
Cam Pha,23,19,12,SE,1.3,89,64,1011,2010-01-04
Cam Pha,16,13,18,NE,1.8,83,92,1019,2011-01-04
Cam Pha,12,10,21,NNE,4.2,84,89,1024,2012-01-04
Cam Pha,13,12,19,NNE,1.1,86,80,1021,2013-01-04
Cam Pha,21,17,12,ENE,0.0,70,10,1018,2014-01-04
Cam Pha,20,18,10,ESE,0.9,87,65,1014,2015-01-04
Cam Pha,18,17,15,ENE,0.3,83,59,1017,2016-01-04
Cam Pha,21,18,12,NE,0.0,83,19,1016,2017-01-04
Cam Pha,21,19,13,ENE,2.2,93,97,1014,2018-01-04
Cam Pha,18,15,10,NE,3.3,90,100,1023,2019-01-04
Cam Pha,22,18,13,ENE,1.6,89,92,1018,2020-01-04
Cam Pha,19,14,10,E,0.0,52,84,1020,2021-01-04
Cam Pha,20,15,21,NE,0.0,41,6,1027,2009-01-12
Cam Pha,14,12,26,NNE,3.3,81,78,1024,2010-01-12
Cam Pha,14,8,11,ENE,0.0,62,30,1019,2011-01-12
Cam Pha,17,14,15,NE,6.4,83,99,1022,2012-01-12
Cam Pha,15,12,13,E,1.1,75,65,1020,2013-01-12
Cam Pha,19,15,18,NE,0.3,77,53,1023,2014-01-12
Cam Pha,18,12,13,NNE,6.2,75,40,1023,2015-01-12
Cam Pha,18,15,16,ENE,0.0,81,52,1018,2016-01-12
Cam Pha,17,13,22,NNE,13.0,88,100,1016,2017-01-12
Cam Pha,16,15,16,NE,0.0,47,54,1025,2018-01-12
Cam Pha,21,19,11,ENE,0.2,85,76,1018,2019-01-12
Cam Pha,20,16,13,NE,0.7,77,70,1016,2020-01-12
Cam Pha,15,8,7,W,0.0,32,23,1025,2021-01-12
Cam Pha,18,14,18,ENE,0.0,43,7,1026,2009-01-15
Cam Pha,19,17,17,NE,4.2,90,98,1022,2010-01-15
Cam Pha,17,12,18,ENE,0.0,56,23,1023,2011-01-15
Cam Pha,19,16,14,ENE,20.1,92,92,1010,2012-01-15
Cam Pha,20,18,15,E,1.8,81,76,1019,2013-01-15
Cam Pha,17,13,14,ENE,0.0,58,1,1024,2014-01-15
Cam Pha,17,13,10,ENE,0.0,67,0,1022,2015-01-15
Cam Pha,17,15,17,NE,11.3,87,99,1014,2016-01-15
Cam Pha,18,16,16,NE,0.9,76,100,1020,2017-01-15
Cam Pha,19,15,11,ENE,0.3,81,69,1017,2018-01-15
Cam Pha,21,16,17,NE,0.9,82,57,1018,2019-01-15
Cam Pha,22,20,12,SE,3.3,87,83,1014,2020-01-15
Cam Pha,20,13,6,SSW,0.0,77,12,1015,2021-01-15
Cam Pha,20,18,13,E,0.0,80,43,1018,2009-01-18
Cam Pha,20,17,13,ENE,0.0,72,8,1022,2010-01-18
Cam Pha,17,13,19,NE,0.0,67,64,1019,2011-01-18
Cam Pha,22,20,10,SE,2.0,92,83,1010,2012-01-18
Cam Pha,17,14,16,NE,0.3,79,54,1025,2013-01-18
Cam Pha,20,15,14,NE,0.0,60,4,1026,2014-01-18
Cam Pha,19,15,15,ENE,0.0,66,9,1023,2015-01-18
Cam Pha,18,16,18,ENE,0.0,66,41,1016,2016-01-18
Cam Pha,18,16,13,ENE,1.4,90,92,1020,2017-01-18
Cam Pha,21,17,9,NE,0.0,83,5,1015,2018-01-18
Cam Pha,18,15,10,NE,0.0,73,74,1021,2019-01-18
Cam Pha,16,10,15,NE,1.2,90,100,1018,2020-01-18
Cam Pha,17,11,6,S,0.0,52,19,1024,2021-01-18
Cam Pha,20,17,12,E,0.0,74,36,1020,2009-01-17
Cam Pha,20,17,17,ENE,0.0,77,14,1025,2010-01-17
Cam Pha,16,13,21,NE,0.0,61,46,1021,2011-01-17
Cam Pha,19,17,18,ENE,0.5,86,68,1011,2012-01-17
Cam Pha,18,15,20,NE,3.9,86,71,1023,2013-01-17
Cam Pha,20,15,11,NE,0.0,68,11,1023,2014-01-17
Cam Pha,19,14,14,SE,0.0,66,7,1023,2015-01-17
Cam Pha,21,17,13,NE,0.1,83,40,1012,2016-01-17
Cam Pha,17,16,16,NE,5.4,89,100,1020,2017-01-17
Cam Pha,20,17,9,ENE,0.0,90,60,1014,2018-01-17
Cam Pha,19,13,9,E,0.0,67,33,1023,2019-01-17
Cam Pha,20,14,18,ENE,0.1,85,68,1018,2020-01-17
Cam Pha,17,8,15,SSE,3.3,64,81,1024,2021-01-17
Cam Pha,17,12,21,NE,0.0,42,2,1026,2009-01-10
Cam Pha,23,17,18,SE,12.0,89,74,1014,2010-01-10
Cam Pha,16,11,16,NE,0.0,56,58,1020,2011-01-10
Cam Pha,19,14,12,ENE,0.1,69,40,1022,2012-01-10
Cam Pha,17,13,16,NE,0.0,60,66,1021,2013-01-10
Cam Pha,16,14,15,NE,0.3,81,81,1021,2014-01-10
Cam Pha,13,13,16,ENE,4.0,81,92,1023,2015-01-10
Cam Pha,21,18,11,ENE,10.1,93,54,1013,2016-01-10
Cam Pha,20,19,16,ENE,3.9,93,93,1015,2017-01-10
Cam Pha,14,12,17,NNE,0.3,50,84,1026,2018-01-10
Cam Pha,19,16,13,NE,1.5,90,87,1019,2019-01-10
Cam Pha,23,20,6,SE,0.9,86,59,1013,2020-01-10
Cam Pha,12,10,14,NE,0.0,44,82,1023,2021-01-10
Cam Pha,20,15,13,E,0.0,55,7,1024,2009-01-16
Cam Pha,19,16,22,NE,1.1,81,55,1025,2010-01-16
Cam Pha,15,11,19,ENE,0.0,52,11,1022,2011-01-16
Cam Pha,19,15,16,ENE,0.4,81,21,1012,2012-01-16
Cam Pha,20,18,16,ENE,0.2,87,78,1019,2013-01-16
Cam Pha,18,15,15,ENE,0.4,72,21,1022,2014-01-16
Cam Pha,18,13,10,E,0.0,67,1,1023,2015-01-16
Cam Pha,19,15,11,ENE,0.3,87,91,1011,2016-01-16
