province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Hai Duong,19,13,14,NNE,0.0,68,28,1024,2009-01-01
Hai Duong,20,19,13,ENE,2.4,91,97,1015,2010-01-01
Hai Duong,21,16,16,E,2.4,80,70,1015,2011-01-01
Hai Duong,20,17,10,NE,0.2,66,81,1021,2012-01-01
Hai Duong,19,14,8,E,0.0,54,29,1019,2013-01-01
Hai Duong,20,13,7,SSE,0.0,53,0,1018,2014-01-01
Hai Duong,22,15,12,ENE,0.0,54,0,1023,2015-01-01
Hai Duong,22,15,8,ENE,0.2,73,62,1025,2016-01-01
Hai Duong,21,18,8,SSE,6.9,76,90,1021,2017-01-01
Hai Duong,20,16,11,E,0.0,76,77,1019,2018-01-01
Hai Duong,16,10,11,SSW,0.0,66,89,1028,2019-01-01
Hai Duong,22,16,14,ENE,0.1,78,91,1023,2020-01-01
Hai Duong,20,11,8,ENE,0.0,39,10,1024,2021-01-01
Hai Duong,23,15,10,NE,0.2,82,47,1018,2009-01-04
Hai Duong,26,18,10,SE,0.8,88,62,1011,2010-01-04
Hai Duong,18,13,13,NE,1.2,80,87,1019,2011-01-04
Hai Duong,12,11,17,E,4.8,81,89,1024,2012-01-04
Hai Duong,14,11,14,NNE,0.8,79,72,1020,2013-01-04
Hai Duong,25,18,9,ENE,0.0,65,18,1018,2014-01-04
Hai Duong,22,17,11,ESE,0.8,84,61,1014,2015-01-04
Hai Duong,20,17,12,ENE,0.2,79,64,1017,2016-01-04
Hai Duong,26,19,11,E,0.0,76,29,1017,2017-01-04
Hai Duong,24,20,13,E,2.0,88,93,1014,2018-01-04
Hai Duong,18,15,9,SW,1.5,85,100,1022,2019-01-04
Hai Duong,26,20,17,ESE,1.0,80,69,1018,2020-01-04
Hai Duong,21,15,7,S,0.0,50,69,1020,2021-01-04
Hai Duong,19,13,12,NE,4.6,75,40,1021,2009-01-03
Hai Duong,23,18,8,E,0.6,86,72,1016,2010-01-03
Hai Duong,18,15,17,NE,2.4,83,93,1018,2011-01-03
Hai Duong,20,16,16,ENE,11.3,90,96,1018,2012-01-03
Hai Duong,15,12,17,E,7.2,83,93,1022,2013-01-03
Hai Duong,23,17,10,ENE,0.1,79,41,1016,2014-01-03
Hai Duong,20,16,13,E,0.9,77,53,1019,2015-01-03
Hai Duong,24,18,7,ESE,0.0,77,6,1018,2016-01-03
Hai Duong,27,20,9,ENE,0.0,78,19,1019,2017-01-03
Hai Duong,22,18,12,ENE,1.3,85,68,1017,2018-01-03
Hai Duong,17,12,9,WSW,1.2,73,100,1024,2019-01-03
Hai Duong,24,19,16,E,0.2,82,73,1020,2020-01-03
Hai Duong,18,13,8,SSE,0.2,60,66,1021,2021-01-03
Hai Duong,18,12,16,E,0.0,53,21,1028,2009-01-09
Hai Duong,22,16,10,SE,0.9,89,73,1014,2010-01-09
Hai Duong,16,13,14,ESE,0.6,66,73,1021,2011-01-09
Hai Duong,19,14,13,E,0.4,71,66,1021,2012-01-09
Hai Duong,16,12,14,S,1.0,65,87,1021,2013-01-09
Hai Duong,19,14,13,NE,0.4,69,74,1022,2014-01-09
Hai Duong,18,14,12,NNE,0.9,69,76,1024,2015-01-09
Hai Duong,25,18,17,E,1.5,84,76,1015,2016-01-09
Hai Duong,25,20,15,E,0.0,79,63,1014,2017-01-09
Hai Duong,14,10,13,E,3.5,70,91,1025,2018-01-09
Hai Duong,15,15,17,SSE,1.7,84,97,1021,2019-01-09
Hai Duong,26,21,12,SE,2.7,80,57,1015,2020-01-09
Hai Duong,16,9,9,E,0.0,41,68,1024,2021-01-09
Hai Duong,24,19,14,ENE,1.9,84,24,1018,2009-01-06
Hai Duong,18,17,14,NE,8.6,88,88,1016,2010-01-06
Hai Duong,18,13,14,NNE,0.7,70,82,1022,2011-01-06
Hai Duong,16,13,11,NE,0.5,78,79,1023,2012-01-06
Hai Duong,18,11,11,ESE,0.4,67,54,1019,2013-01-06
Hai Duong,22,19,16,SSE,3.5,89,71,1013,2014-01-06
Hai Duong,23,21,12,ESE,1.8,91,65,1013,2015-01-06
Hai Duong,25,19,9,E,0.1,86,35,1017,2016-01-06
Hai Duong,27,20,6,ESE,0.0,77,33,1014,2017-01-06
Hai Duong,22,19,14,E,0.2,85,95,1012,2018-01-06
Hai Duong,22,18,11,ENE,0.8,81,99,1020,2019-01-06
Hai Duong,26,20,14,ESE,0.5,73,55,1016,2020-01-06
Hai Duong,21,18,11,E,0.0,56,98,1019,2021-01-06
Hai Duong,16,15,16,NNE,0.1,80,67,1022,2009-01-07
Hai Duong,17,15,16,NE,10.4,88,99,1019,2010-01-07
Hai Duong,15,11,9,NNE,0.0,64,57,1023,2011-01-07
Hai Duong,20,13,12,ENE,0.8,77,71,1020,2012-01-07
Hai Duong,17,12,10,NE,0.0,72,48,1018,2013-01-07
Hai Duong,22,19,14,SSE,1.1,91,70,1013,2014-01-07
Hai Duong,21,17,12,NE,3.9,80,90,1019,2015-01-07
Hai Duong,24,19,18,E,0.6,80,45,1018,2016-01-07
Hai Duong,27,19,7,E,0.0,77,35,1012,2017-01-07
Hai Duong,23,19,13,E,4.9,91,94,1011,2018-01-07
Hai Duong,21,19,13,ENE,1.2,89,100,1019,2019-01-07
Hai Duong,25,20,9,ESE,0.0,79,54,1015,2020-01-07
Hai Duong,16,10,12,NE,0.9,66,94,1020,2021-01-07
Hai Duong,19,13,13,NE,0.1,60,19,1024,2009-01-02
Hai Duong,20,19,11,NE,3.2,90,94,1016,2010-01-02
Hai Duong,22,18,17,E,4.2,88,76,1016,2011-01-02
Hai Duong,19,17,12,NE,2.0,77,91,1019,2012-01-02
Hai Duong,19,15,10,NE,0.7,74,74,1017,2013-01-02
Hai Duong,22,17,9,SSE,0.0,72,1,1014,2014-01-02
Hai Duong,21,16,14,E,0.0,62,0,1022,2015-01-02
Hai Duong,23,17,8,ENE,0.0,75,15,1021,2016-01-02
Hai Duong,24,17,8,SW,0.0,80,66,1019,2017-01-02
Hai Duong,22,17,12,E,0.4,82,57,1017,2018-01-02
Hai Duong,17,10,9,WNW,0.6,63,88,1027,2019-01-02
Hai Duong,24,19,14,E,0.1,83,67,1022,2020-01-02
Hai Duong,20,12,8,ENE,0.0,48,4,1021,2021-01-02
Hai Duong,19,10,13,NE,0.0,44,1,1027,2009-01-10
Hai Duong,27,18,11,SE,2.2,86,57,1013,2010-01-10
Hai Duong,17,11,10,ENE,0.0,55,62,1020,2011-01-10
Hai Duong,21,14,9,E,0.1,71,42,1022,2012-01-10
Hai Duong,18,12,10,SSE,0.0,58,61,1021,2013-01-10
Hai Duong,18,14,11,NE,0.9,77,78,1021,2014-01-10
Hai Duong,13,12,15,NW,6.0,81,89,1024,2015-01-10
Hai Duong,27,19,15,SE,14.1,83,32,1013,2016-01-10
Hai Duong,24,21,17,E,1.9,87,84,1015,2017-01-10
Hai Duong,15,11,12,ESE,0.3,54,74,1027,2018-01-10
Hai Duong,20,15,9,SSW,1.1,88,97,1019,2019-01-10
Hai Duong,26,21,11,SSE,1.9,80,77,1013,2020-01-10
Hai Duong,14,11,9,NE,0.0,34,70,1023,2021-01-10
Hai Duong,21,12,9,ENE,0.0,47,0,1023,2009-01-11
Hai Duong,16,15,18,NNE,6.5,86,99,1019,2010-01-11
Hai Duong,11,9,16,SE,1.4,61,78,1020,2011-01-11
Hai Duong,18,16,12,NNE,2.5,73,67,1023,2012-01-11
Hai Duong,16,12,13,ENE,0.0,62,59,1021,2013-01-11
Hai Duong,22,17,11,ENE,2.1,86,83,1021,2014-01-11
Hai Duong,12,11,14,NNW,17.1,86,100,1023,2015-01-11
Hai Duong,22,19,15,ENE,3.1,84,59,1016,2016-01-11
Hai Duong,22,20,21,E,2.2,91,91,1014,2017-01-11
Hai Duong,16,13,7,S,0.0,50,68,1026,2018-01-11
Hai Duong,24,18,9,ENE,0.4,86,84,1018,2019-01-11
Hai Duong,25,21,10,ESE,0.7,77,76,1013,2020-01-11
Hai Duong,13,10,17,N,0.0,32,66,1028,2021-01-11
Hai Duong,23,17,11,E,0.6,86,43,1017,2009-01-05
Hai Duong,28,21,13,SSE,1.1,87,31,1010,2010-01-05
Hai Duong,19,13,10,NE,0.4,79,77,1017,2011-01-05
Hai Duong,16,9,11,NE,2.1,80,69,1023,2012-01-05
Hai Duong,16,10,12,NNE,0.7,76,65,1018,2013-01-05
Hai Duong,23,17,13,ESE,0.1,70,16,1015,2014-01-05
Hai Duong,24,19,12,SE,0.8,91,72,1010,2015-01-05
Hai Duong,26,17,9,SE,0.1,82,40,1015,2016-01-05
Hai Duong,28,19,6,ENE,0.0,74,41,1015,2017-01-05
Hai Duong,23,19,12,E,1.4,90,94,1013,2018-01-05
Hai Duong,24,17,10,SE,0.6,83,79,1020,2019-01-05
Hai Duong,23,20,18,E,0.1,82,69,1017,2020-01-05
Hai Duong,19,15,7,ENE,0.1,58,85,1020,2021-01-05
Hai Duong,21,12,13,NE,0.0,43,3,1028,2009-01-14
Hai Duong,19,11,9,NNE,0.3,75,70,1024,2010-01-14
Hai Duong,22,15,9,NE,0.2,74,54,1017,2011-01-14
Hai Duong,21,17,11,E,5.3,91,93,1013,2012-01-14
Hai Duong,20,15,11,ENE,0.0,75,50,1017,2013-01-14
Hai Duong,20,9,11,S,0.0,54,2,1024,2014-01-14
Hai Duong,23,14,6,ENE,0.0,63,0,1023,2015-01-14
Hai Duong,21,17,16,ENE,10.1,88,94,1016,2016-01-14
Hai Duong,21,14,9,NE,0.1,72,81,1017,2017-01-14
Hai Duong,19,15,12,ENE,0.4,71,87,1021,2018-01-14
Hai Duong,24,20,18,E,1.6,85,56,1016,2019-01-14
Hai Duong,23,18,17,SE,6.3,82,77,1014,2020-01-14
Hai Duong,23,13,9,E,0.0,57,9,1017,2021-01-14
Hai Duong,17,13,14,ENE,0.1,72,56,1026,2009-01-08
Hai Duong,20,13,11,ENE,4.8,81,55,1020,2010-01-08
Hai Duong,18,11,11,NE,0.0,69,59,1020,2011-01-08
Hai Duong,18,13,12,NE,0.8,74,85,1024,2012-01-08
Hai Duong,16,15,13,NNE,0.7,74,78,1017,2013-01-08
Hai Duong,21,17,14,ENE,1.6,83,76,1017,2014-01-08
Hai Duong,17,15,11,NNE,2.8,71,94,1024,2015-01-08
Hai Duong,23,19,20,E,2.6,84,65,1018,2016-01-08
Hai Duong,27,20,9,E,0.0,82,36,1013,2017-01-08
Hai Duong,23,12,18,ENE,15.4,86,99,1015,2018-01-08
Hai Duong,21,18,20,ENE,1.9,87,97,1019,2019-01-08
Hai Duong,26,20,14,E,0.5,77,45,1016,2020-01-08
Hai Duong,10,8,12,NNE,0.1,60,100,1025,2021-01-08
Hai Duong,23,11,12,NE,0.0,42,3,1030,2009-01-13
Hai Duong,16,12,11,ESE,0.5,72,58,1026,2010-01-13
Hai Duong,19,12,8,NE,0.1,71,42,1017,2011-01-13
Hai Duong,19,15,8,NE,2.7,84,90,1018,2012-01-13
