province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Hai Phong,18,12,12,NE,1.1,74,36,1021,2009-01-03
Hai Phong,22,17,8,E,1.2,85,70,1016,2010-01-03
Hai Phong,17,14,16,NE,1.4,83,93,1018,2011-01-03
Hai Phong,19,15,16,ENE,9.6,90,97,1018,2012-01-03
Hai Phong,14,12,16,ESE,5.8,84,94,1022,2013-01-03
Hai Phong,23,16,9,ENE,0.1,79,41,1016,2014-01-03
Hai Phong,20,16,13,E,0.2,77,50,1019,2015-01-03
Hai Phong,24,18,7,SSE,0.0,77,4,1018,2016-01-03
Hai Phong,26,19,8,ENE,0.0,78,19,1019,2017-01-03
Hai Phong,22,18,10,ENE,0.5,85,66,1017,2018-01-03
Hai Phong,16,13,8,SSW,0.7,74,100,1025,2019-01-03
Hai Phong,24,20,15,E,0.1,81,68,1020,2020-01-03
Hai Phong,18,13,7,ESE,0.0,59,65,1021,2021-01-03
Hai Phong,23,15,10,NE,0.1,81,45,1018,2009-01-04
Hai Phong,26,18,10,SE,1.0,88,63,1011,2010-01-04
Hai Phong,17,13,12,NE,0.6,80,87,1019,2011-01-04
Hai Phong,11,10,16,NE,2.9,81,90,1024,2012-01-04
Hai Phong,13,11,14,NNE,0.1,80,73,1020,2013-01-04
Hai Phong,24,17,9,ENE,0.0,66,19,1018,2014-01-04
Hai Phong,22,17,11,ESE,0.3,85,62,1014,2015-01-04
Hai Phong,20,17,11,ENE,0.0,79,63,1017,2016-01-04
Hai Phong,25,19,10,E,0.0,76,26,1017,2017-01-04
Hai Phong,24,20,12,E,0.7,88,93,1015,2018-01-04
Hai Phong,18,15,9,ESE,1.5,86,100,1023,2019-01-04
Hai Phong,25,19,16,ESE,0.3,80,70,1018,2020-01-04
Hai Phong,21,16,7,S,0.0,50,71,1020,2021-01-04
Hai Phong,23,17,11,E,0.4,86,43,1017,2009-01-05
Hai Phong,27,21,13,SSE,3.0,87,34,1010,2010-01-05
Hai Phong,19,14,9,NE,0.2,79,79,1017,2011-01-05
Hai Phong,15,9,10,NE,0.9,80,70,1023,2012-01-05
Hai Phong,15,10,11,NNE,0.2,76,65,1018,2013-01-05
Hai Phong,22,17,13,ESE,0.1,71,17,1015,2014-01-05
Hai Phong,23,19,11,SE,2.2,92,72,1010,2015-01-05
Hai Phong,26,17,9,SE,0.0,82,40,1015,2016-01-05
Hai Phong,27,19,5,E,0.0,75,40,1015,2017-01-05
Hai Phong,23,19,11,E,0.5,90,93,1013,2018-01-05
Hai Phong,23,17,9,SE,0.2,83,78,1021,2019-01-05
Hai Phong,23,20,17,E,0.0,81,66,1017,2020-01-05
Hai Phong,20,17,6,ENE,0.0,57,86,1020,2021-01-05
Hai Phong,18,12,14,NNE,0.0,68,25,1024,2009-01-01
Hai Phong,20,18,13,ENE,4.3,91,97,1015,2010-01-01
Hai Phong,20,17,16,E,1.5,80,70,1015,2011-01-01
Hai Phong,20,16,10,NE,0.1,66,82,1021,2012-01-01
Hai Phong,18,13,7,E,0.0,54,33,1019,2013-01-01
Hai Phong,20,12,7,ESE,0.0,54,0,1018,2014-01-01
Hai Phong,22,15,11,ENE,0.0,54,0,1023,2015-01-01
Hai Phong,21,15,8,ENE,0.0,73,59,1025,2016-01-01
Hai Phong,21,17,7,SSE,1.6,76,90,1021,2017-01-01
Hai Phong,21,16,10,E,0.0,77,75,1019,2018-01-01
Hai Phong,15,11,10,SSE,0.0,66,89,1028,2019-01-01
Hai Phong,22,16,13,ENE,0.0,78,91,1023,2020-01-01
Hai Phong,19,10,8,ENE,0.0,38,11,1024,2021-01-01
Hai Phong,16,14,16,NNE,0.1,79,67,1022,2009-01-07
Hai Phong,17,14,16,NE,9.4,88,99,1019,2010-01-07
Hai Phong,14,11,9,NNE,0.0,63,59,1023,2011-01-07
Hai Phong,20,13,12,ENE,0.7,76,72,1020,2012-01-07
Hai Phong,17,12,9,NE,0.0,72,45,1018,2013-01-07
Hai Phong,22,19,14,SE,1.3,91,70,1013,2014-01-07
Hai Phong,21,17,11,NE,1.8,80,90,1019,2015-01-07
Hai Phong,23,19,17,E,0.3,81,45,1018,2016-01-07
Hai Phong,26,20,7,E,0.0,78,36,1012,2017-01-07
Hai Phong,22,19,12,E,4.7,91,93,1011,2018-01-07
Hai Phong,21,19,12,ENE,0.5,89,100,1020,2019-01-07
Hai Phong,25,20,9,ESE,0.0,78,52,1015,2020-01-07
Hai Phong,16,15,10,NE,0.4,65,95,1020,2021-01-07
Hai Phong,18,12,15,NE,0.0,52,18,1028,2009-01-09
Hai Phong,22,16,10,SE,0.5,89,75,1014,2010-01-09
Hai Phong,15,12,13,ENE,0.3,65,74,1021,2011-01-09
Hai Phong,19,13,13,E,0.0,71,65,1021,2012-01-09
Hai Phong,15,12,13,S,0.5,65,88,1021,2013-01-09
Hai Phong,18,14,13,NE,0.4,70,73,1022,2014-01-09
Hai Phong,18,14,12,NNE,0.5,68,73,1024,2015-01-09
Hai Phong,24,19,16,E,0.7,84,76,1015,2016-01-09
Hai Phong,25,20,14,E,0.0,79,61,1014,2017-01-09
Hai Phong,13,10,13,NE,0.6,71,91,1025,2018-01-09
Hai Phong,15,15,15,SE,1.9,84,96,1021,2019-01-09
Hai Phong,26,21,11,SE,2.3,80,61,1015,2020-01-09
Hai Phong,15,8,8,E,0.0,40,68,1024,2021-01-09
Hai Phong,21,11,9,ENE,0.0,46,0,1023,2009-01-11
Hai Phong,15,13,18,NNE,6.5,86,99,1019,2010-01-11
Hai Phong,11,9,15,SE,0.6,61,70,1020,2011-01-11
Hai Phong,17,15,11,NNE,1.1,73,65,1023,2012-01-11
Hai Phong,16,12,12,ENE,0.0,62,60,1021,2013-01-11
Hai Phong,21,17,11,ENE,0.8,87,82,1021,2014-01-11
Hai Phong,13,12,13,N,8.5,87,100,1023,2015-01-11
Hai Phong,21,18,14,ENE,1.1,83,59,1016,2016-01-11
Hai Phong,22,20,20,E,2.5,91,94,1014,2017-01-11
Hai Phong,15,13,7,S,0.0,50,67,1026,2018-01-11
Hai Phong,24,18,8,E,0.0,86,83,1018,2019-01-11
Hai Phong,25,21,9,ESE,0.9,77,76,1013,2020-01-11
Hai Phong,12,11,15,N,0.0,32,65,1028,2021-01-11
Hai Phong,18,12,13,NE,0.1,59,19,1024,2009-01-02
Hai Phong,19,18,11,NNE,3.8,90,93,1016,2010-01-02
Hai Phong,22,18,17,E,3.2,88,80,1016,2011-01-02
Hai Phong,18,17,11,NE,0.9,77,91,1019,2012-01-02
Hai Phong,19,15,10,NE,0.6,74,73,1017,2013-01-02
Hai Phong,21,17,8,SSE,0.0,73,2,1014,2014-01-02
Hai Phong,21,17,13,E,0.0,62,0,1022,2015-01-02
Hai Phong,23,17,8,E,0.0,75,15,1021,2016-01-02
Hai Phong,25,18,7,S,0.0,79,61,1019,2017-01-02
Hai Phong,22,17,11,E,0.1,83,53,1017,2018-01-02
Hai Phong,17,10,8,WNW,0.1,63,86,1027,2019-01-02
Hai Phong,24,18,13,E,0.0,82,69,1022,2020-01-02
Hai Phong,20,12,8,ENE,0.0,48,5,1021,2021-01-02
Hai Phong,17,13,14,NNE,0.1,71,54,1026,2009-01-08
Hai Phong,20,13,11,ENE,3.7,81,53,1020,2010-01-08
Hai Phong,18,11,10,NE,0.0,68,61,1020,2011-01-08
Hai Phong,17,13,12,NE,0.7,73,85,1024,2012-01-08
Hai Phong,16,14,12,NNE,0.2,73,78,1018,2013-01-08
Hai Phong,21,17,13,ENE,2.1,83,75,1017,2014-01-08
Hai Phong,17,16,10,NNE,0.7,70,96,1024,2015-01-08
Hai Phong,22,19,19,E,1.7,85,67,1018,2016-01-08
Hai Phong,26,20,9,E,0.0,83,37,1013,2017-01-08
Hai Phong,22,11,18,ENE,16.8,86,99,1015,2018-01-08
Hai Phong,20,17,17,ENE,0.6,88,97,1019,2019-01-08
Hai Phong,26,20,13,E,0.1,77,39,1016,2020-01-08
Hai Phong,9,8,11,NNE,0.0,60,100,1025,2021-01-08
Hai Phong,21,12,12,ENE,0.0,42,6,1027,2009-01-15
Hai Phong,20,16,10,NNE,1.3,87,92,1022,2010-01-15
Hai Phong,18,12,16,NE,0.0,52,32,1023,2011-01-15
Hai Phong,21,18,10,ESE,19.4,93,91,1010,2012-01-15
Hai Phong,20,18,9,ENE,1.5,82,90,1019,2013-01-15
Hai Phong,21,12,9,ENE,0.0,57,0,1024,2014-01-15
Hai Phong,21,15,8,E,0.0,68,0,1022,2015-01-15
Hai Phong,18,17,11,NE,6.0,83,96,1013,2016-01-15
Hai Phong,20,16,10,NE,0.3,71,90,1020,2017-01-15
Hai Phong,21,16,10,E,0.0,76,67,1017,2018-01-15
Hai Phong,23,17,17,ENE,0.5,79,64,1018,2019-01-15
Hai Phong,24,21,17,SSE,2.4,79,76,1014,2020-01-15
Hai Phong,23,14,8,ESE,0.0,73,12,1015,2021-01-15
Hai Phong,20,11,13,NE,0.0,42,3,1028,2009-01-14
Hai Phong,20,11,8,NE,0.3,75,71,1024,2010-01-14
Hai Phong,21,14,9,NE,0.1,74,53,1017,2011-01-14
Hai Phong,21,17,11,E,2.7,91,94,1013,2012-01-14
Hai Phong,20,15,11,ENE,0.0,75,48,1017,2013-01-14
Hai Phong,20,10,10,S,0.0,55,1,1024,2014-01-14
Hai Phong,23,14,6,ESE,0.0,63,0,1023,2015-01-14
Hai Phong,20,17,14,ENE,6.1,88,94,1016,2016-01-14
Hai Phong,20,15,9,NE,0.0,71,80,1018,2017-01-14
Hai Phong,18,15,10,ENE,0.1,71,87,1021,2018-01-14
Hai Phong,23,20,17,E,0.5,86,56,1016,2019-01-14
Hai Phong,24,18,15,SE,5.9,82,81,1014,2020-01-14
Hai Phong,22,13,8,E,0.0,57,8,1017,2021-01-14
Hai Phong,23,15,9,E,0.0,70,33,1020,2009-01-17
Hai Phong,22,15,10,ENE,0.0,77,23,1025,2010-01-17
Hai Phong,17,11,14,NE,0.1,59,52,1021,2011-01-17
Hai Phong,20,17,15,E,0.5,87,63,1011,2012-01-17
Hai Phong,19,15,15,NE,5.0,85,79,1023,2013-01-17
Hai Phong,21,14,7,ENE,0.0,68,29,1024,2014-01-17
Hai Phong,21,14,11,SE,0.0,60,6,1023,2015-01-17
Hai Phong,25,19,12,SE,0.1,76,38,1012,2016-01-17
Hai Phong,17,16,11,NE,3.7,83,100,1020,2017-01-17
Hai Phong,22,18,10,E,0.1,86,63,1014,2018-01-17
Hai Phong,20,11,8,SW,0.0,66,47,1023,2019-01-17
Hai Phong,23,19,15,E,0.0,79,59,1018,2020-01-17
Hai Phong,18,10,16,ESE,0.9,60,83,1024,2021-01-17
Hai Phong,19,9,13,NE,0.0,43,1,1027,2009-01-10
Hai Phong,26,17,11,SE,2.7,87,61,1014,2010-01-10
Hai Phong,17,12,10,NNE,0.0,54,61,1020,2011-01-10
Hai Phong,20,13,8,E,0.1,71,42,1022,2012-01-10
Hai Phong,17,12,10,SSE,0.0,59,62,1021,2013-01-10
Hai Phong,17,14,10,NE,0.4,77,80,1021,2014-01-10
Hai Phong,13,12,14,NW,2.3,82,90,1024,2015-01-10
Hai Phong,26,20,14,ESE,10.5,84,34,1013,2016-01-10
Hai Phong,23,20,15,E,1.3,87,86,1015,2017-01-10
Hai Phong,14,11,11,ENE,0.3,54,73,1027,2018-01-10
Hai Phong,19,15,8,SSE,1.0,89,96,1019,2019-01-10
Hai Phong,25,21,10,SE,1.7,81,80,1013,2020-01-10
Hai Phong,14,11,8,NE,0.0,33,66,1023,2021-01-10
Hai Phong,23,16,9,E,0.2,79,52,1018,2009-01-18
Hai Phong,23,15,9,E,0.0,74,6,1022,2010-01-18
Hai Phong,18,12,13,NE,0.1,65,66,1019,2011-01-18
Hai Phong,23,20,12,SE,4.8,93,82,1010,2012-01-18
Hai Phong,18,14,10,NNE,0.1,78,68,1025,2013-01-18
Hai Phong,22,13,10,NE,0.0,57,5,1026,2014-01-18
Hai Phong,21,15,10,ENE,0.0,59,11,1023,2015-01-18
Hai Phong,21,16,12,ENE,0.0,62,48,1016,2016-01-18
Hai Phong,21,16,8,ENE,1.2,83,82,1020,2017-01-18
Hai Phong,24,17,10,E,0.0,79,18,1015,2018-01-18
Hai Phong,20,15,10,ENE,0.0,70,66,1021,2019-01-18
Hai Phong,19,15,13,E,0.2,84,95,1018,2020-01-18
Hai Phong,21,11,8,W,0.0,46,24,1024,2021-01-18
Hai Phong,22,10,12,NE,0.0,42,3,1030,2009-01-13
Hai Phong,15,12,11,ENE,0.1,71,59,1026,2010-01-13
Hai Phong,18,11,7,NE,0.0,71,43,1017,2011-01-13
Hai Phong,19,16,8,NE,1.0,84,91,1018,2012-01-13
Hai Phong,23,11,7,SW,0.0,65,11,1017,2013-01-13
Hai Phong,15,12,14,W,0.0,64,52,1025,2014-01-13
Hai Phong,22,12,10,SSE,0.0,60,0,1023,2015-01-13
Hai Phong,18,17,16,ENE,0.3,81,90,1018,2016-01-13
Hai Phong,18,13,11,SSE,0.7,77,95,1017,2017-01-13
Hai Phong,18,14,13,ENE,0.0,57,59,1023,2018-01-13
Hai Phong,23,20,14,E,0.2,86,75,1017,2019-01-13
Hai Phong,21,17,10,E,0.1,78,93,1015,2020-01-13
Hai Phong,20,12,9,E,0.0,43,18,1018,2021-01-13
Hai Phong,23,18,14,ENE,0.6,84,23,1018,2009-01-06
Hai Phong,18,17,14,NE,10.9,88,87,1016,2010-01-06
Hai Phong,17,12,13,NNE,0.4,69,82,1022,2011-01-06
Hai Phong,15,13,10,E,0.1,78,85,1023,2012-01-06
Hai Phong,17,11,10,ESE,0.1,66,54,1019,2013-01-06
Hai Phong,21,19,15,SSE,3.4,90,72,1013,2014-01-06
Hai Phong,22,21,12,E,2.1,92,67,1013,2015-01-06
Hai Phong,24,19,9,E,0.1,86,31,1017,2016-01-06
Hai Phong,26,20,6,SE,0.0,77,35,1014,2017-01-06
Hai Phong,21,19,13,E,0.2,85,95,1012,2018-01-06
Hai Phong,21,18,10,ENE,0.3,81,99,1021,2019-01-06
Hai Phong,26,20,13,ESE,0.4,73,53,1016,2020-01-06
Hai Phong,20,18,10,E,0.0,56,97,1019,2021-01-06
Hai Phong,23,16,8,SSE,0.0,67,26,1015,2009-01-22
Hai Phong,20,15,15,NE,29.9,94,100,1018,2010-01-22
Hai Phong,18,13,12,ENE,0.0,72,46,1020,2011-01-22
Hai Phong,17,13,17,NE,2.2,82,92,1016,2012-01-22
Hai Phong,23,19,11,E,0.0,85,29,1018,2013-01-22
Hai Phong,21,11,8,ENE,0.0,39,0,1025,2014-01-22
Hai Phong,24,17,8,S,0.0,67,2,1020,2015-01-22
Hai Phong,18,14,15,NE,0.5,74,98,1018,2016-01-22
Hai Phong,22,15,8,ENE,0.0,61,39,1026,2017-01-22
Hai Phong,24,19,12,E,0.5,83,34,1013,2018-01-22
Hai Phong,20,14,7,WSW,0.0,57,64,1023,2019-01-22
Hai Phong,25,20,11,SE,1.1,82,60,1017,2020-01-22
Hai Phong,25,17,5,SSW,0.0,73,63,1014,2021-01-22
Hai Phong,24,14,8,E,0.0,54,3,1024,2009-01-16
Hai Phong,18,15,12,NNE,0.9,82,65,1025,2010-01-16
Hai Phong,17,10,12,ENE,0.0,50,14,1022,2011-01-16
Hai Phong,21,16,12,E,0.3,82,28,1012,2012-01-16
Hai Phong,22,18,13,E,1.1,85,80,1019,2013-01-16
Hai Phong,20,13,12,ENE,0.2,71,19,1022,2014-01-16
Hai Phong,23,15,6,ENE,0.0,62,2,1023,2015-01-16
Hai Phong,20,16,10,ENE,0.1,84,89,1011,2016-01-16
Hai Phong,19,16,10,NE,0.0,74,99,1019,2017-01-16
Hai Phong,20,18,8,ENE,0.6,87,89,1015,2018-01-16
Hai Phong,16,13,12,SSW,0.3,72,77,1022,2019-01-16
Hai Phong,24,21,12,ESE,0.5,78,66,1015,2020-01-16
Hai Phong,23,14,7,E,0.1,69,54,1016,2021-01-16
Hai Phong,24,16,11,SE,0.0,77,30,1015,2009-01-19
Hai Phong,25,16,8,E,0.0,81,21,1018,2010-01-19
Hai Phong,17,13,11,NNE,0.2,72,81,1017,2011-01-19
Hai Phong,24,21,13,ESE,3.9,92,82,1011,2012-01-19
Hai Phong,19,14,10,ENE,0.2,82,78,1020,2013-01-19
Hai Phong,20,13,11,ENE,0.0,58,1,1024,2014-01-19
Hai Phong,22,15,8,ENE,0.0,60,6,1022,2015-01-19
Hai Phong,20,17,12,ENE,0.2,68,91,1018,2016-01-19
Hai Phong,21,18,9,ENE,0.4,90,86,1020,2017-01-19
Hai Phong,26,19,8,E,0.0,72,5,1017,2018-01-19
Hai Phong,24,17,9,E,0.0,80,72,1018,2019-01-19
Hai Phong,19,18,10,ENE,3.8,87,100,1019,2020-01-19
Hai Phong,21,13,10,SE,0.0,58,4,1018,2021-01-19
Hai Phong,18,14,15,NE,3.4,82,77,1018,2009-01-23
Hai Phong,14,13,13,ENE,62.0,93,89,1021,2010-01-23
