province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Ho Chi Minh City,29,22,6,SE,18.5,89,68,1010,2009-01-01
Ho Chi Minh City,34,24,5,E,0.0,59,20,1010,2010-01-01
Ho Chi Minh City,29,23,4,S,0.2,81,42,1008,2011-01-01
Ho Chi Minh City,32,23,7,E,1.8,76,35,1012,2012-01-01
Ho Chi Minh City,33,24,4,SE,0.0,69,15,1010,2013-01-01
Ho Chi Minh City,29,21,5,SSW,0.0,72,29,1012,2014-01-01
Ho Chi Minh City,31,22,5,SSE,0.2,72,30,1012,2015-01-01
Ho Chi Minh City,34,23,7,ENE,0.0,57,8,1015,2016-01-01
Ho Chi Minh City,32,24,7,NE,1.9,74,28,1011,2017-01-01
Ho Chi Minh City,33,23,5,E,0.0,59,19,1010,2018-01-01
Ho Chi Minh City,29,24,17,NNE,3.3,66,51,1013,2019-01-01
Ho Chi Minh City,35,24,9,ENE,0.0,51,11,1014,2020-01-01
Ho Chi Minh City,30,23,8,NE,0.0,63,35,1011,2021-01-01
Ho Chi Minh City,25,22,6,E,7.2,87,68,1012,2009-01-03
Ho Chi Minh City,33,26,7,ESE,0.0,65,37,1010,2010-01-03
Ho Chi Minh City,33,23,4,SSE,0.1,73,51,1009,2011-01-03
Ho Chi Minh City,30,23,6,SE,0.1,79,43,1012,2012-01-03
Ho Chi Minh City,34,25,3,SSE,5.2,68,27,1011,2013-01-03
Ho Chi Minh City,32,22,5,SW,0.0,74,15,1012,2014-01-03
Ho Chi Minh City,32,22,6,SSW,0.0,67,25,1012,2015-01-03
Ho Chi Minh City,33,25,7,S,3.4,70,45,1014,2016-01-03
Ho Chi Minh City,33,23,8,E,0.0,70,25,1010,2017-01-03
Ho Chi Minh City,34,24,6,E,0.0,64,14,1009,2018-01-03
Ho Chi Minh City,31,23,15,ENE,3.5,73,47,1013,2019-01-03
Ho Chi Minh City,35,25,7,ESE,0.0,59,16,1013,2020-01-03
Ho Chi Minh City,31,24,4,SE,2.5,70,59,1010,2021-01-03
Ho Chi Minh City,29,21,4,SSE,0.5,83,40,1011,2009-01-04
Ho Chi Minh City,35,25,9,ESE,0.1,61,42,1009,2010-01-04
Ho Chi Minh City,28,24,4,ESE,2.8,83,58,1009,2011-01-04
Ho Chi Minh City,31,23,5,ESE,0.1,77,32,1013,2012-01-04
Ho Chi Minh City,32,25,4,WSW,0.5,70,33,1009,2013-01-04
Ho Chi Minh City,33,23,6,S,3.0,74,38,1011,2014-01-04
Ho Chi Minh City,32,24,4,SSE,0.0,71,31,1010,2015-01-04
Ho Chi Minh City,30,24,5,SSE,0.6,74,52,1012,2016-01-04
Ho Chi Minh City,32,23,8,ENE,4.4,71,38,1010,2017-01-04
Ho Chi Minh City,34,25,6,S,0.0,66,29,1008,2018-01-04
Ho Chi Minh City,32,25,18,E,0.0,71,18,1013,2019-01-04
Ho Chi Minh City,34,24,5,SW,0.0,61,15,1012,2020-01-04
Ho Chi Minh City,32,24,8,ESE,0.0,68,43,1010,2021-01-04
Ho Chi Minh City,31,21,5,ESE,0.0,77,29,1011,2009-01-05
Ho Chi Minh City,35,26,10,ESE,0.0,57,35,1009,2010-01-05
Ho Chi Minh City,32,24,6,E,2.5,74,53,1009,2011-01-05
Ho Chi Minh City,33,23,5,SE,0.0,76,18,1013,2012-01-05
Ho Chi Minh City,29,22,5,SSW,0.0,72,32,1008,2013-01-05
Ho Chi Minh City,31,23,6,SSW,1.7,79,43,1010,2014-01-05
Ho Chi Minh City,33,24,5,SSW,1.1,70,46,1010,2015-01-05
Ho Chi Minh City,33,25,8,ESE,0.4,66,56,1012,2016-01-05
Ho Chi Minh City,32,24,9,E,1.6,72,26,1009,2017-01-05
Ho Chi Minh City,33,26,9,SE,0.1,70,50,1009,2018-01-05
Ho Chi Minh City,32,25,16,ESE,0.0,68,7,1013,2019-01-05
Ho Chi Minh City,35,25,6,SW,0.0,60,5,1012,2020-01-05
Ho Chi Minh City,26,25,5,SSE,3.4,77,69,1010,2021-01-05
Ho Chi Minh City,32,22,5,ESE,0.3,77,29,1011,2009-01-06
Ho Chi Minh City,34,25,12,ESE,0.0,56,13,1010,2010-01-06
Ho Chi Minh City,33,23,7,NE,3.2,74,26,1009,2011-01-06
Ho Chi Minh City,33,23,6,S,0.4,74,16,1013,2012-01-06
Ho Chi Minh City,26,22,8,SE,8.8,84,86,1009,2013-01-06
Ho Chi Minh City,30,23,6,SE,0.2,76,29,1010,2014-01-06
Ho Chi Minh City,33,25,6,E,4.7,74,23,1009,2015-01-06
Ho Chi Minh City,34,25,13,ESE,0.1,67,39,1014,2016-01-06
Ho Chi Minh City,32,24,10,E,1.5,69,28,1008,2017-01-06
Ho Chi Minh City,33,25,14,ESE,0.0,72,16,1009,2018-01-06
Ho Chi Minh City,34,25,13,E,0.0,63,19,1013,2019-01-06
Ho Chi Minh City,33,25,7,S,0.0,59,20,1012,2020-01-06
Ho Chi Minh City,29,24,6,SE,0.0,73,35,1009,2021-01-06
Ho Chi Minh City,31,22,7,ENE,0.0,74,14,1013,2009-01-08
Ho Chi Minh City,35,24,6,SE,0.0,57,14,1012,2010-01-08
Ho Chi Minh City,32,22,5,E,0.0,72,23,1010,2011-01-08
Ho Chi Minh City,31,22,7,ENE,0.0,68,43,1013,2012-01-08
Ho Chi Minh City,31,23,7,SSE,1.7,82,40,1010,2013-01-08
Ho Chi Minh City,31,25,6,SE,0.0,70,42,1011,2014-01-08
Ho Chi Minh City,33,25,6,E,0.0,69,37,1011,2015-01-08
Ho Chi Minh City,33,25,13,E,0.0,65,45,1013,2016-01-08
Ho Chi Minh City,33,24,15,ESE,0.0,68,16,1008,2017-01-08
Ho Chi Minh City,34,26,10,ESE,0.0,69,32,1011,2018-01-08
Ho Chi Minh City,32,24,9,E,0.1,64,30,1013,2019-01-08
Ho Chi Minh City,34,25,9,E,0.0,59,35,1010,2020-01-08
Ho Chi Minh City,33,25,6,SSE,0.0,65,27,1009,2021-01-08
Ho Chi Minh City,32,23,5,SE,3.8,81,26,1012,2009-01-07
Ho Chi Minh City,35,25,10,ESE,0.0,55,12,1012,2010-01-07
Ho Chi Minh City,29,21,6,ENE,0.5,75,39,1010,2011-01-07
Ho Chi Minh City,31,23,8,ESE,0.6,72,47,1012,2012-01-07
Ho Chi Minh City,27,23,8,NNE,17.0,91,62,1009,2013-01-07
Ho Chi Minh City,32,22,6,SW,0.2,70,22,1011,2014-01-07
Ho Chi Minh City,33,24,6,ESE,1.4,74,18,1010,2015-01-07
Ho Chi Minh City,34,25,12,ESE,0.0,65,34,1014,2016-01-07
Ho Chi Minh City,32,24,14,E,2.0,70,24,1008,2017-01-07
Ho Chi Minh City,33,25,11,ESE,0.0,71,23,1010,2018-01-07
Ho Chi Minh City,35,25,10,E,0.0,59,5,1012,2019-01-07
Ho Chi Minh City,33,25,9,E,0.1,61,41,1011,2020-01-07
Ho Chi Minh City,33,25,4,SW,0.0,68,24,1009,2021-01-07
Ho Chi Minh City,28,18,11,SW,0.0,66,26,1014,2009-01-10
Ho Chi Minh City,33,25,6,ESE,1.3,62,54,1011,2010-01-10
Ho Chi Minh City,32,22,5,WSW,0.0,70,24,1009,2011-01-10
Ho Chi Minh City,30,23,8,ESE,0.1,71,36,1011,2012-01-10
Ho Chi Minh City,32,24,7,S,8.1,81,40,1010,2013-01-10
Ho Chi Minh City,32,23,6,E,0.0,66,42,1012,2014-01-10
Ho Chi Minh City,33,24,5,ESE,0.0,68,20,1012,2015-01-10
Ho Chi Minh City,34,25,13,ESE,0.0,65,18,1013,2016-01-10
Ho Chi Minh City,33,25,9,ESE,0.4,71,21,1009,2017-01-10
Ho Chi Minh City,33,25,7,NE,3.9,65,49,1012,2018-01-10
Ho Chi Minh City,33,25,12,E,0.0,62,25,1012,2019-01-10
Ho Chi Minh City,34,25,10,SE,0.0,62,23,1009,2020-01-10
Ho Chi Minh City,32,22,5,S,0.0,61,16,1010,2021-01-10
Ho Chi Minh City,28,18,9,WNW,0.0,69,26,1014,2009-01-11
Ho Chi Minh City,35,25,6,SE,0.1,61,30,1012,2010-01-11
Ho Chi Minh City,32,22,4,SSW,0.0,73,17,1008,2011-01-11
Ho Chi Minh City,28,24,8,ESE,0.4,75,46,1011,2012-01-11
Ho Chi Minh City,33,24,6,SSW,2.8,75,21,1011,2013-01-11
Ho Chi Minh City,33,24,5,ESE,0.0,63,34,1013,2014-01-11
Ho Chi Minh City,33,24,5,ESE,0.1,69,24,1011,2015-01-11
Ho Chi Minh City,33,25,8,ESE,0.0,68,31,1013,2016-01-11
Ho Chi Minh City,31,25,7,SSE,3.0,75,50,1009,2017-01-11
Ho Chi Minh City,35,25,7,NE,0.0,57,18,1012,2018-01-11
Ho Chi Minh City,33,25,8,E,0.0,61,44,1012,2019-01-11
Ho Chi Minh City,34,24,8,SW,0.0,64,29,1009,2020-01-11
Ho Chi Minh City,33,23,6,ESE,0.0,59,21,1011,2021-01-11
Ho Chi Minh City,29,19,5,SSW,0.0,69,40,1016,2009-01-12
Ho Chi Minh City,34,25,7,ESE,0.0,61,10,1013,2010-01-12
Ho Chi Minh City,32,23,4,SSE,0.4,75,24,1008,2011-01-12
Ho Chi Minh City,32,23,8,SE,3.1,75,32,1010,2012-01-12
Ho Chi Minh City,33,24,6,WSW,0.0,71,12,1011,2013-01-12
Ho Chi Minh City,33,25,4,SSE,1.4,70,38,1013,2014-01-12
Ho Chi Minh City,34,24,6,ESE,2.0,70,26,1012,2015-01-12
Ho Chi Minh City,34,25,13,ESE,0.0,68,13,1012,2016-01-12
Ho Chi Minh City,32,25,8,W,0.0,75,37,1008,2017-01-12
Ho Chi Minh City,33,23,10,NE,0.0,54,13,1013,2018-01-12
Ho Chi Minh City,34,25,7,E,1.8,62,35,1012,2019-01-12
Ho Chi Minh City,33,24,8,SW,0.0,67,35,1010,2020-01-12
Ho Chi Minh City,31,22,10,ENE,0.0,56,9,1012,2021-01-12
Ho Chi Minh City,30,18,8,E,0.0,65,20,1016,2009-01-15
Ho Chi Minh City,33,22,7,SSE,0.0,60,21,1015,2010-01-15
Ho Chi Minh City,33,23,5,ESE,0.0,71,16,1011,2011-01-15
Ho Chi Minh City,32,24,11,ESE,2.1,72,31,1007,2012-01-15
Ho Chi Minh City,33,23,7,ENE,0.1,72,27,1012,2013-01-15
Ho Chi Minh City,34,21,7,SSE,0.0,63,2,1015,2014-01-15
Ho Chi Minh City,35,23,7,SSW,0.0,56,1,1014,2015-01-15
Ho Chi Minh City,34,26,13,ESE,0.0,65,24,1010,2016-01-15
Ho Chi Minh City,31,25,7,E,34.7,83,76,1010,2017-01-15
Ho Chi Minh City,33,24,5,ESE,0.0,61,57,1010,2018-01-15
Ho Chi Minh City,34,25,8,ESE,0.0,62,33,1010,2019-01-15
Ho Chi Minh City,34,24,10,E,0.0,63,7,1011,2020-01-15
Ho Chi Minh City,32,23,8,SSE,0.0,67,8,1010,2021-01-15
Ho Chi Minh City,32,20,12,E,0.0,66,5,1014,2009-01-09
Ho Chi Minh City,33,24,5,ESE,0.0,64,35,1011,2010-01-09
Ho Chi Minh City,32,23,4,S,0.0,72,26,1009,2011-01-09
Ho Chi Minh City,32,22,8,SE,0.4,67,49,1012,2012-01-09
Ho Chi Minh City,33,24,5,SSW,4.3,78,40,1009,2013-01-09
Ho Chi Minh City,31,23,7,ESE,0.1,68,36,1011,2014-01-09
Ho Chi Minh City,34,24,6,SE,0.0,66,28,1012,2015-01-09
Ho Chi Minh City,34,25,15,ESE,0.0,63,29,1013,2016-01-09
Ho Chi Minh City,34,24,10,ESE,0.0,68,9,1008,2017-01-09
Ho Chi Minh City,33,26,9,ESE,0.1,72,25,1011,2018-01-09
Ho Chi Minh City,34,25,10,E,0.0,64,22,1013,2019-01-09
Ho Chi Minh City,36,26,8,SSE,0.0,57,23,1010,2020-01-09
Ho Chi Minh City,33,23,7,E,0.0,60,11,1010,2021-01-09
Ho Chi Minh City,31,20,6,SSE,0.0,67,12,1015,2009-01-16
Ho Chi Minh City,33,22,7,ESE,0.0,55,24,1015,2010-01-16
Ho Chi Minh City,31,22,4,SE,0.3,71,37,1011,2011-01-16
Ho Chi Minh City,33,24,10,ESE,4.3,75,43,1007,2012-01-16
Ho Chi Minh City,33,23,6,ESE,0.0,67,8,1013,2013-01-16
Ho Chi Minh City,32,20,4,W,0.0,63,5,1015,2014-01-16
Ho Chi Minh City,34,22,7,SE,0.0,61,1,1014,2015-01-16
Ho Chi Minh City,34,25,12,SE,1.6,69,22,1010,2016-01-16
Ho Chi Minh City,30,24,14,ESE,4.3,80,59,1010,2017-01-16
Ho Chi Minh City,31,25,5,SSW,1.1,69,47,1010,2018-01-16
Ho Chi Minh City,34,26,8,SE,0.0,59,39,1011,2019-01-16
Ho Chi Minh City,35,24,10,SSE,0.0,61,13,1011,2020-01-16
Ho Chi Minh City,33,23,9,S,0.0,67,8,1010,2021-01-16
Ho Chi Minh City,28,22,9,NE,1.8,83,62,1011,2009-01-02
Ho Chi Minh City,32,24,7,ESE,0.0,61,48,1010,2010-01-02
Ho Chi Minh City,33,23,3,ESE,0.1,74,12,1009,2011-01-02
Ho Chi Minh City,31,24,7,E,1.3,78,26,1012,2012-01-02
Ho Chi Minh City,34,24,3,SE,0.3,68,23,1010,2013-01-02
Ho Chi Minh City,31,23,6,S,0.0,75,47,1012,2014-01-02
Ho Chi Minh City,29,21,5,SW,0.5,73,43,1013,2015-01-02
Ho Chi Minh City,34,24,8,ENE,0.4,62,27,1014,2016-01-02
Ho Chi Minh City,32,24,9,ENE,4.8,72,24,1011,2017-01-02
Ho Chi Minh City,33,23,7,E,0.0,62,7,1009,2018-01-02
Ho Chi Minh City,26,23,15,NNE,21.2,80,75,1012,2019-01-02
Ho Chi Minh City,35,24,8,ENE,0.0,56,11,1014,2020-01-02
Ho Chi Minh City,29,23,7,ESE,0.0,67,45,1011,2021-01-02
Ho Chi Minh City,29,21,10,ENE,0.0,63,23,1017,2009-01-13
Ho Chi Minh City,33,23,7,ENE,0.0,62,28,1015,2010-01-13
Ho Chi Minh City,32,22,3,SSW,1.4,76,26,1009,2011-01-13
Ho Chi Minh City,32,24,7,E,2.6,75,43,1010,2012-01-13
Ho Chi Minh City,33,23,6,SE,0.1,73,12,1011,2013-01-13
Ho Chi Minh City,33,23,5,ENE,0.4,71,38,1012,2014-01-13
Ho Chi Minh City,32,24,5,WSW,3.2,72,24,1012,2015-01-13
Ho Chi Minh City,34,25,14,ESE,0.0,61,22,1011,2016-01-13
Ho Chi Minh City,33,25,6,W,0.1,71,37,1008,2017-01-13
Ho Chi Minh City,32,22,7,NE,0.0,56,12,1012,2018-01-13
Ho Chi Minh City,34,25,7,SE,8.0,64,27,1011,2019-01-13
Ho Chi Minh City,35,24,8,SSW,0.0,58,10,1010,2020-01-13
Ho Chi Minh City,30,21,8,W,0.0,60,10,1011,2021-01-13
Ho Chi Minh City,36,22,6,SW,0.0,66,4,1012,2009-01-19
Ho Chi Minh City,24,22,12,SW,23.2,84,75,1011,2010-01-19
Ho Chi Minh City,33,21,5,S,0.0,64,17,1009,2011-01-19
Ho Chi Minh City,32,24,12,SE,4.8,77,27,1009,2012-01-19
Ho Chi Minh City,33,22,6,SE,0.0,64,12,1013,2013-01-19
Ho Chi Minh City,31,19,10,S,0.0,58,10,1016,2014-01-19
Ho Chi Minh City,31,22,6,SE,0.0,60,7,1014,2015-01-19
Ho Chi Minh City,34,26,18,ESE,0.7,68,21,1011,2016-01-19
Ho Chi Minh City,33,25,6,ENE,1.2,65,38,1012,2017-01-19
Ho Chi Minh City,31,25,5,ESE,4.2,69,56,1009,2018-01-19
Ho Chi Minh City,35,24,6,ESE,0.0,56,13,1011,2019-01-19
Ho Chi Minh City,34,24,10,E,0.0,60,20,1012,2020-01-19
Ho Chi Minh City,31,20,8,WNW,0.0,55,26,1011,2021-01-19
Ho Chi Minh City,36,22,6,SSE,0.0,67,2,1011,2009-01-20
Ho Chi Minh City,25,22,12,SSE,8.1,93,88,1011,2010-01-20
Ho Chi Minh City,34,23,6,SSE,0.0,67,37,1009,2011-01-20
Ho Chi Minh City,33,24,11,SE,0.3,74,19,1009,2012-01-20
Ho Chi Minh City,34,23,6,SE,0.0,65,36,1013,2013-01-20
Ho Chi Minh City,30,18,7,SSE,0.0,62,21,1015,2014-01-20
Ho Chi Minh City,32,22,7,SSW,0.0,58,5,1015,2015-01-20
Ho Chi Minh City,35,26,15,ESE,0.0,63,6,1012,2016-01-20
Ho Chi Minh City,32,25,7,ENE,6.0,69,52,1012,2017-01-20
Ho Chi Minh City,34,24,7,E,0.1,65,27,1009,2018-01-20
Ho Chi Minh City,35,25,8,SSE,0.0,58,19,1011,2019-01-20
Ho Chi Minh City,35,24,9,ESE,0.0,57,13,1013,2020-01-20
Ho Chi Minh City,33,23,7,SW,0.0,60,26,1011,2021-01-20
Ho Chi Minh City,30,18,9,ENE,0.0,64,11,1017,2009-01-14
Ho Chi Minh City,32,22,9,ENE,0.0,58,28,1016,2010-01-14
Ho Chi Minh City,32,23,4,SSW,0.3,74,25,1010,2011-01-14
Ho Chi Minh City,33,24,10,E,2.7,71,37,1008,2012-01-14
Ho Chi Minh City,32,23,7,E,0.9,74,19,1012,2013-01-14
Ho Chi Minh City,31,21,5,SE,0.0,67,30,1013,2014-01-14
Ho Chi Minh City,35,23,4,SW,0.0,68,16,1013,2015-01-14
Ho Chi Minh City,35,25,14,ESE,0.0,59,20,1011,2016-01-14
Ho Chi Minh City,33,25,7,ENE,12.3,75,57,1009,2017-01-14
Ho Chi Minh City,32,23,6,NE,0.0,58,53,1012,2018-01-14
Ho Chi Minh City,35,25,7,SSE,0.0,58,9,1010,2019-01-14
Ho Chi Minh City,34,24,8,S,0.0,55,7,1010,2020-01-14
Ho Chi Minh City,31,22,6,SW,0.0,68,17,1011,2021-01-14
Ho Chi Minh City,35,20,6,ESE,0.0,66,6,1014,2009-01-17
Ho Chi Minh City,33,23,7,SE,0.0,56,43,1015,2010-01-17
Ho Chi Minh City,32,20,4,SE,0.0,67,7,1012,2011-01-17
Ho Chi Minh City,32,24,10,ESE,9.3,77,56,1007,2012-01-17
Ho Chi Minh City,32,22,6,S,0.0,65,18,1013,2013-01-17
Ho Chi Minh City,34,20,4,SSE,0.0,66,8,1014,2014-01-17
Ho Chi Minh City,31,22,6,ENE,0.0,61,23,1013,2015-01-17
Ho Chi Minh City,34,25,11,SE,0.0,70,7,1010,2016-01-17
Ho Chi Minh City,33,24,9,E,0.4,70,20,1011,2017-01-17
Ho Chi Minh City,30,25,4,SE,0.0,74,56,1009,2018-01-17
Ho Chi Minh City,33,25,10,E,0.4,59,38,1011,2019-01-17
Ho Chi Minh City,35,25,9,ESE,0.0,62,12,1012,2020-01-17
Ho Chi Minh City,33,23,10,SSW,0.0,62,10,1011,2021-01-17
Ho Chi Minh City,29,24,6,SSW,0.2,75,44,1010,2009-01-23
Ho Chi Minh City,33,23,7,ESE,0.2,71,23,1013,2010-01-23
Ho Chi Minh City,33,24,3,ESE,11.8,76,52,1011,2011-01-23
Ho Chi Minh City,32,23,5,S,2.6,72,26,1010,2012-01-23
Ho Chi Minh City,33,24,8,ESE,1.2,71,29,1012,2013-01-23
Ho Chi Minh City,28,19,6,SSW,0.0,62,6,1015,2014-01-23
Ho Chi Minh City,33,22,10,ESE,0.0,61,3,1014,2015-01-23
Ho Chi Minh City,35,26,13,ESE,0.0,65,12,1013,2016-01-23
Ho Chi Minh City,32,23,8,NE,0.0,64,23,1013,2017-01-23
Ho Chi Minh City,32,25,7,ESE,1.4,73,46,1008,2018-01-23
Ho Chi Minh City,34,23,7,ESE,0.1,57,9,1013,2019-01-23
Ho Chi Minh City,35,24,11,E,0.0,56,13,1012,2020-01-23
Ho Chi Minh City,25,18,5,SE,31.5,90,84,1010,2021-01-23
Ho Chi Minh City,34,23,4,SW,0.0,67,27,1010,2009-01-22
Ho Chi Minh City,32,24,9,ESE,1.3,77,18,1013,2010-01-22
Ho Chi Minh City,34,23,5,SSE,6.6,75,40,1010,2011-01-22
Ho Chi Minh City,33,23,6,ESE,3.0,70,16,1010,2012-01-22
Ho Chi Minh City,34,24,9,E,8.0,68,34,1013,2013-01-22
Ho Chi Minh City,31,18,8,SE,0.0,58,13,1015,2014-01-22
Ho Chi Minh City,32,22,8,S,0.0,64,12,1016,2015-01-22
Ho Chi Minh City,35,25,12,E,0.0,66,13,1013,2016-01-22
Ho Chi Minh City,32,23,8,E,0.6,69,46,1014,2017-01-22
Ho Chi Minh City,33,25,6,SSE,14.1,73,55,1008,2018-01-22
Ho Chi Minh City,33,25,7,SE,0.1,61,27,1013,2019-01-22
Ho Chi Minh City,35,25,12,SE,0.0,59,20,1013,2020-01-22
Ho Chi Minh City,31,24,8,SSW,5.1,70,55,1009,2021-01-22
Ho Chi Minh City,29,24,7,ENE,0.1,72,63,1011,2009-01-24
Ho Chi Minh City,34,23,9,ESE,0.0,64,17,1013,2010-01-24
Ho Chi Minh City,31,23,4,ESE,1.8,75,48,1011,2011-01-24
Ho Chi Minh City,34,24,6,SSW,1.8,72,14,1010,2012-01-24
Ho Chi Minh City,33,24,8,SE,0.0,70,21,1012,2013-01-24
Ho Chi Minh City,33,18,5,SW,0.0,62,2,1013,2014-01-24
Ho Chi Minh City,34,23,9,SE,0.0,61,1,1014,2015-01-24
Ho Chi Minh City,33,26,11,ENE,0.2,59,38,1015,2016-01-24
Ho Chi Minh City,33,24,6,ENE,0.3,64,57,1013,2017-01-24
Ho Chi Minh City,33,25,8,E,6.2,72,50,1007,2018-01-24
Ho Chi Minh City,35,23,7,S,0.0,56,4,1013,2019-01-24
Ho Chi Minh City,36,24,11,ESE,0.0,56,6,1012,2020-01-24
Ho Chi Minh City,31,24,8,SSE,3.8,71,54,1011,2021-01-24
Ho Chi Minh City,33,24,6,ESE,0.0,65,40,1012,2009-01-25
Ho Chi Minh City,34,23,7,E,0.1,65,40,1013,2010-01-25
