province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Hoa Binh,18,12,5,NE,0.0,77,39,1024,2009-01-01
Hoa Binh,18,14,3,ENE,2.2,94,98,1015,2010-01-01
Hoa Binh,17,13,4,E,1.1,91,76,1015,2011-01-01
Hoa Binh,19,13,4,ENE,0.1,75,71,1021,2012-01-01
Hoa Binh,20,10,3,S,0.0,47,23,1019,2013-01-01
Hoa Binh,21,6,3,S,0.0,60,0,1018,2014-01-01
Hoa Binh,26,11,5,SE,0.0,60,0,1023,2015-01-01
Hoa Binh,22,14,3,E,0.0,76,71,1025,2016-01-01
Hoa Binh,17,16,2,S,4.1,86,98,1021,2017-01-01
Hoa Binh,20,14,4,SSE,0.1,81,76,1018,2018-01-01
Hoa Binh,14,11,4,SE,0.0,66,76,1028,2019-01-01
Hoa Binh,23,19,5,SE,1.0,84,95,1024,2020-01-01
Hoa Binh,19,9,4,SSE,0.0,44,15,1024,2021-01-01
Hoa Binh,23,12,4,S,0.1,86,64,1018,2009-01-04
Hoa Binh,27,18,6,SE,0.2,87,75,1011,2010-01-04
Hoa Binh,15,11,5,ENE,1.4,86,78,1019,2011-01-04
Hoa Binh,12,9,8,NE,6.1,84,93,1023,2012-01-04
Hoa Binh,14,11,5,NE,0.6,78,85,1019,2013-01-04
Hoa Binh,22,14,3,ESE,0.7,75,50,1019,2014-01-04
Hoa Binh,24,16,5,SE,0.2,81,48,1013,2015-01-04
Hoa Binh,20,14,5,ESE,0.2,83,69,1017,2016-01-04
Hoa Binh,26,18,4,SE,0.0,79,35,1017,2017-01-04
Hoa Binh,24,18,4,SE,1.4,89,94,1015,2018-01-04
Hoa Binh,21,14,4,SE,0.0,75,62,1022,2019-01-04
Hoa Binh,24,19,7,SSE,1.3,83,71,1018,2020-01-04
Hoa Binh,23,16,4,S,0.0,59,47,1020,2021-01-04
Hoa Binh,23,12,4,S,1.4,91,82,1017,2009-01-05
Hoa Binh,32,18,4,S,0.0,78,35,1010,2010-01-05
Hoa Binh,18,10,4,ENE,0.3,81,66,1017,2011-01-05
Hoa Binh,15,9,4,ENE,1.4,81,75,1022,2012-01-05
Hoa Binh,16,10,5,NE,0.1,72,59,1017,2013-01-05
Hoa Binh,24,12,6,SSE,0.0,72,11,1015,2014-01-05
Hoa Binh,29,15,5,SSE,0.0,81,48,1010,2015-01-05
Hoa Binh,30,15,4,S,0.0,70,30,1015,2016-01-05
Hoa Binh,26,18,3,WNW,0.1,79,80,1016,2017-01-05
Hoa Binh,26,20,7,ESE,1.6,88,90,1013,2018-01-05
Hoa Binh,25,16,4,SW,0.0,77,45,1020,2019-01-05
Hoa Binh,24,18,7,SE,2.3,88,78,1017,2020-01-05
