province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Hong Gai,17,13,21,NE,0.0,58,20,1024,2009-01-02
Hong Gai,19,18,16,NE,3.7,90,92,1016,2010-01-02
Hong Gai,20,18,24,E,4.7,88,73,1016,2011-01-02
Hong Gai,18,17,18,ENE,2.5,80,90,1019,2012-01-02
Hong Gai,19,16,14,ENE,0.9,76,70,1017,2013-01-02
Hong Gai,19,17,9,SSE,0.0,74,6,1014,2014-01-02
Hong Gai,19,17,19,E,0.0,66,1,1022,2015-01-02
Hong Gai,21,16,10,ENE,0.0,79,18,1021,2016-01-02
Hong Gai,22,18,12,NE,0.1,82,60,1019,2017-01-02
Hong Gai,21,18,14,ENE,0.3,86,52,1017,2018-01-02
Hong Gai,15,13,10,SSE,0.8,69,80,1026,2019-01-02
Hong Gai,22,18,18,ENE,0.2,88,73,1021,2020-01-02
Hong Gai,17,12,13,ENE,0.0,53,8,1021,2021-01-02
Hong Gai,18,13,19,NE,4.1,73,41,1021,2009-01-03
Hong Gai,22,18,14,ENE,0.9,84,63,1016,2010-01-03
Hong Gai,17,15,25,ENE,1.0,85,89,1018,2011-01-03
Hong Gai,19,15,24,ENE,9.5,90,99,1018,2012-01-03
Hong Gai,16,13,20,NNE,8.9,88,91,1022,2013-01-03
Hong Gai,20,17,11,ENE,0.2,84,38,1016,2014-01-03
Hong Gai,19,17,19,E,0.7,80,50,1019,2015-01-03
Hong Gai,21,17,7,ESE,0.0,79,1,1018,2016-01-03
Hong Gai,23,19,12,ENE,0.0,82,18,1018,2017-01-03
Hong Gai,21,18,17,ENE,0.7,87,71,1016,2018-01-03
Hong Gai,15,14,13,NNE,3.2,82,100,1024,2019-01-03
Hong Gai,22,18,20,ENE,0.5,86,81,1020,2020-01-03
Hong Gai,16,11,17,NE,2.3,70,84,1020,2021-01-03
Hong Gai,17,13,20,NNE,0.0,72,47,1026,2009-01-08
Hong Gai,19,14,17,ENE,5.6,82,57,1019,2010-01-08
Hong Gai,16,12,16,NE,0.0,72,63,1020,2011-01-08
Hong Gai,16,14,16,NE,1.0,77,84,1023,2012-01-08
Hong Gai,16,15,17,NE,0.0,76,64,1018,2013-01-08
Hong Gai,20,17,17,ENE,1.1,86,66,1017,2014-01-08
Hong Gai,17,16,17,NE,1.3,69,93,1023,2015-01-08
Hong Gai,20,18,21,ENE,1.9,88,70,1018,2016-01-08
Hong Gai,24,20,11,ENE,0.0,90,36,1012,2017-01-08
Hong Gai,21,12,20,ENE,20.7,90,98,1015,2018-01-08
Hong Gai,19,17,29,ENE,1.8,91,90,1019,2019-01-08
Hong Gai,23,20,15,ENE,0.8,84,35,1016,2020-01-08
Hong Gai,9,4,16,N,0.5,67,100,1025,2021-01-08
Hong Gai,21,19,17,E,1.2,83,35,1017,2009-01-05
Hong Gai,25,22,17,S,4.8,89,32,1010,2010-01-05
Hong Gai,17,14,14,NE,0.6,82,81,1017,2011-01-05
Hong Gai,14,10,15,NE,2.1,83,74,1023,2012-01-05
Hong Gai,16,12,16,NE,0.9,82,57,1018,2013-01-05
Hong Gai,19,18,16,E,0.2,74,20,1015,2014-01-05
Hong Gai,21,20,12,SE,2.5,95,75,1011,2015-01-05
Hong Gai,22,18,9,SE,0.1,86,33,1015,2016-01-05
Hong Gai,23,19,8,ENE,0.0,82,36,1015,2017-01-05
Hong Gai,21,18,15,ENE,1.3,93,92,1013,2018-01-05
Hong Gai,21,18,15,ENE,1.1,88,84,1020,2019-01-05
Hong Gai,22,20,20,E,0.0,85,55,1017,2020-01-05
Hong Gai,18,16,17,ENE,0.6,66,98,1019,2021-01-05
Hong Gai,22,19,21,ENE,0.5,82,27,1018,2009-01-06
Hong Gai,18,17,20,NE,12.4,88,90,1016,2010-01-06
Hong Gai,16,13,16,NE,1.3,74,89,1022,2011-01-06
Hong Gai,16,13,15,NE,0.5,79,82,1023,2012-01-06
Hong Gai,16,13,13,NE,0.2,72,51,1019,2013-01-06
Hong Gai,20,19,16,SE,2.3,92,65,1013,2014-01-06
Hong Gai,21,20,14,E,1.3,93,68,1013,2015-01-06
Hong Gai,23,19,11,ENE,0.0,89,20,1017,2016-01-06
Hong Gai,23,19,7,ENE,0.0,85,34,1014,2017-01-06
Hong Gai,19,18,18,ENE,0.5,88,96,1012,2018-01-06
Hong Gai,20,18,18,ENE,1.0,84,100,1020,2019-01-06
Hong Gai,24,20,13,E,0.9,79,53,1016,2020-01-06
Hong Gai,18,17,19,ENE,0.0,62,99,1019,2021-01-06
Hong Gai,21,17,15,ENE,0.3,81,46,1018,2009-01-04
