province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Hue,20,18,15,NE,38.8,93,100,1018,2009-01-02
Hue,28,20,8,ESE,0.0,83,17,1013,2010-01-02
Hue,26,17,10,ESE,0.4,84,33,1013,2011-01-02
Hue,22,20,11,E,4.4,91,79,1016,2012-01-02
Hue,25,16,6,SE,0.0,84,18,1015,2013-01-02
Hue,24,15,8,SE,0.0,83,4,1014,2014-01-02
Hue,21,17,11,ENE,13.8,89,84,1019,2015-01-02
Hue,23,19,4,S,5.6,91,95,1019,2016-01-02
Hue,23,21,11,NE,25.9,94,99,1017,2017-01-02
Hue,23,20,13,ENE,12.0,91,88,1015,2018-01-02
Hue,20,17,16,N,5.2,92,100,1021,2019-01-02
Hue,25,21,11,E,8.5,88,73,1020,2020-01-02
Hue,17,16,6,W,10.3,94,99,1018,2021-01-02
Hue,21,19,12,ENE,18.7,93,97,1017,2009-01-03
Hue,27,21,5,ESE,0.0,87,41,1014,2010-01-03
Hue,26,19,7,E,1.4,85,39,1014,2011-01-03
Hue,24,20,10,ESE,0.1,84,45,1016,2012-01-03
Hue,26,19,7,E,1.5,84,38,1017,2013-01-03
Hue,24,17,7,ESE,0.1,82,22,1014,2014-01-03
Hue,22,18,11,ENE,12.0,91,85,1017,2015-01-03
Hue,26,20,4,S,0.8,89,82,1018,2016-01-03
Hue,25,21,12,E,7.3,90,76,1016,2017-01-03
Hue,23,21,8,NE,9.4,91,97,1014,2018-01-03
Hue,21,19,12,S,21.0,93,100,1020,2019-01-03
Hue,25,20,13,ESE,4.1,87,74,1018,2020-01-03
Hue,19,13,6,SW,1.2,91,94,1017,2021-01-03
Hue,19,17,17,NNE,24.3,94,100,1018,2009-01-01
Hue,28,19,9,SE,0.0,84,12,1013,2010-01-01
Hue,23,18,12,E,1.5,83,63,1013,2011-01-01
Hue,22,19,8,ESE,10.9,93,92,1018,2012-01-01
Hue,22,14,5,SSW,1.1,86,58,1016,2013-01-01
Hue,21,14,6,SW,0.0,81,32,1017,2014-01-01
Hue,21,16,8,SSE,1.6,81,59,1020,2015-01-01
Hue,23,20,12,ENE,18.4,89,91,1021,2016-01-01
Hue,21,18,8,WSW,15.9,97,100,1017,2017-01-01
Hue,22,20,14,ENE,10.0,90,85,1016,2018-01-01
Hue,21,20,14,S,13.5,90,99,1021,2019-01-01
Hue,24,21,15,E,23.1,91,74,1020,2020-01-01
Hue,18,17,10,ENE,16.6,91,98,1019,2021-01-01
Hue,22,20,12,E,14.7,94,81,1016,2009-01-06
Hue,29,21,9,SE,0.0,80,13,1013,2010-01-06
Hue,22,18,9,ENE,18.7,93,81,1016,2011-01-06
Hue,22,18,8,NNW,1.6,92,75,1019,2012-01-06
Hue,24,20,8,E,9.3,90,89,1014,2013-01-06
Hue,26,18,11,SE,0.0,82,11,1013,2014-01-06
Hue,28,21,8,ESE,0.5,86,30,1012,2015-01-06
Hue,28,21,6,SE,0.9,83,14,1016,2016-01-06
Hue,25,20,3,E,3.5,90,78,1013,2017-01-06
Hue,26,22,6,S,1.6,91,69,1011,2018-01-06
Hue,25,21,7,SE,4.0,91,74,1018,2019-01-06
Hue,27,18,7,SSE,0.0,83,10,1016,2020-01-06
Hue,22,19,8,SE,9.9,94,97,1015,2021-01-06
Hue,21,17,14,NE,17.7,92,83,1020,2009-01-08
Hue,25,20,7,S,18.1,91,71,1016,2010-01-08
Hue,20,17,8,E,13.1,92,89,1016,2011-01-08
Hue,21,19,10,ENE,7.8,91,79,1020,2012-01-08
Hue,23,20,6,ENE,4.0,93,87,1014,2013-01-08
Hue,26,20,7,E,0.2,84,25,1015,2014-01-08
Hue,22,20,17,ENE,32.6,92,93,1018,2015-01-08
Hue,27,21,10,ESE,1.6,83,31,1017,2016-01-08
Hue,27,21,4,SE,2.4,89,65,1012,2017-01-08
Hue,31,23,9,SSE,6.2,84,17,1012,2018-01-08
Hue,26,21,12,ESE,1.6,83,37,1017,2019-01-08
Hue,26,21,10,ESE,1.4,88,71,1015,2020-01-08
Hue,20,18,14,ENE,36.3,94,96,1017,2021-01-08
Hue,23,20,9,E,5.3,91,73,1015,2009-01-05
Hue,29,22,11,SE,0.0,78,16,1011,2010-01-05
Hue,25,20,8,ESE,3.7,88,58,1014,2011-01-05
Hue,19,17,10,NW,20.6,94,90,1018,2012-01-05
Hue,24,20,8,ENE,7.8,85,69,1014,2013-01-05
Hue,23,16,9,SSE,0.3,85,49,1015,2014-01-05
Hue,28,19,9,SE,0.0,84,10,1011,2015-01-05
Hue,27,21,8,ESE,4.4,85,37,1015,2016-01-05
Hue,25,21,7,ESE,4.0,90,72,1014,2017-01-05
Hue,24,22,9,SSE,8.2,95,100,1012,2018-01-05
Hue,24,21,7,WNW,1.5,93,85,1018,2019-01-05
Hue,26,19,11,SE,0.7,82,34,1016,2020-01-05
Hue,20,18,9,W,0.7,95,100,1016,2021-01-05
Hue,18,14,12,SE,6.7,82,65,1022,2009-01-10
Hue,29,21,10,SE,0.1,83,19,1013,2010-01-10
Hue,19,17,10,ESE,20.9,94,97,1015,2011-01-10
Hue,21,18,8,S,2.9,90,81,1018,2012-01-10
Hue,21,18,10,NNW,1.6,89,79,1016,2013-01-10
Hue,22,20,11,E,14.2,89,84,1018,2014-01-10
Hue,20,18,12,ESE,49.1,95,100,1018,2015-01-10
Hue,28,22,11,SE,1.0,83,40,1014,2016-01-10
Hue,26,22,11,ESE,1.2,86,49,1013,2017-01-10
Hue,19,17,14,N,2.2,88,100,1021,2018-01-10
Hue,27,21,9,ESE,0.6,84,37,1017,2019-01-10
Hue,26,20,7,SE,0.0,83,27,1013,2020-01-10
Hue,17,10,10,WNW,24.1,96,100,1017,2021-01-10
Hue,22,19,8,ENE,8.0,93,92,1016,2009-01-04
Hue,28,21,9,SE,0.1,83,28,1011,2010-01-04
Hue,24,18,10,ENE,10.3,91,82,1014,2011-01-04
Hue,21,18,8,SE,26.9,93,91,1018,2012-01-04
Hue,23,20,9,ENE,10.1,87,83,1015,2013-01-04
Hue,23,18,8,NNW,1.6,87,54,1016,2014-01-04
Hue,26,18,8,ESE,0.9,85,39,1013,2015-01-04
Hue,23,20,9,SE,2.9,91,74,1015,2016-01-04
Hue,24,20,8,E,7.9,91,86,1015,2017-01-04
Hue,24,22,12,ENE,10.9,93,99,1013,2018-01-04
Hue,23,20,8,WNW,6.0,93,99,1019,2019-01-04
Hue,25,19,10,SE,0.9,84,56,1017,2020-01-04
