province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
My Tho,25,21,7,ESE,4.7,88,71,1011,2009-01-03
My Tho,30,26,12,E,0.2,68,43,1010,2010-01-03
My Tho,33,23,7,E,0.3,75,34,1009,2011-01-03
My Tho,29,23,12,ESE,0.1,78,35,1011,2012-01-03
My Tho,33,25,7,E,0.0,70,23,1011,2013-01-03
My Tho,31,22,6,ESE,0.0,76,14,1012,2014-01-03
My Tho,31,22,7,SSW,0.1,69,29,1012,2015-01-03
My Tho,33,25,8,SE,2.5,71,44,1014,2016-01-03
My Tho,31,24,12,E,0.0,72,33,1010,2017-01-03
My Tho,33,24,6,E,0.0,71,15,1009,2018-01-03
My Tho,28,23,14,ENE,8.4,83,63,1013,2019-01-03
My Tho,33,25,10,E,0.0,65,16,1013,2020-01-03
My Tho,30,23,4,WSW,0.3,78,54,1010,2021-01-03
My Tho,28,22,9,SE,7.3,91,75,1010,2009-01-01
My Tho,33,24,10,E,0.0,62,21,1010,2010-01-01
My Tho,28,23,6,SE,0.1,80,40,1008,2011-01-01
My Tho,31,24,17,E,0.0,77,31,1012,2012-01-01
My Tho,32,25,7,ENE,0.0,70,21,1010,2013-01-01
My Tho,29,21,6,S,0.0,73,43,1012,2014-01-01
My Tho,30,22,7,WSW,0.4,75,35,1012,2015-01-01
My Tho,33,23,10,ENE,0.0,61,7,1015,2016-01-01
My Tho,31,24,10,ENE,1.3,77,28,1011,2017-01-01
My Tho,32,23,6,ENE,0.0,65,24,1010,2018-01-01
My Tho,28,23,13,SSW,2.3,70,51,1013,2019-01-01
My Tho,34,23,9,ENE,0.0,59,10,1014,2020-01-01
My Tho,29,21,7,WSW,0.0,70,30,1011,2021-01-01
My Tho,30,22,6,ENE,0.0,80,30,1011,2009-01-05
My Tho,34,25,15,ESE,0.0,62,29,1009,2010-01-05
My Tho,31,24,13,E,0.9,74,58,1008,2011-01-05
My Tho,32,23,8,ESE,0.0,77,13,1012,2012-01-05
My Tho,29,22,5,SW,0.1,71,35,1008,2013-01-05
My Tho,30,23,9,ESE,0.2,80,43,1010,2014-01-05
My Tho,32,24,8,SSE,4.1,74,42,1010,2015-01-05
My Tho,33,25,12,SE,0.2,71,45,1012,2016-01-05
My Tho,31,24,15,E,0.0,75,16,1009,2017-01-05
My Tho,32,25,9,SE,0.2,77,44,1009,2018-01-05
My Tho,31,25,15,E,0.1,75,20,1013,2019-01-05
My Tho,36,24,5,SE,0.0,69,8,1012,2020-01-05
My Tho,25,18,4,W,2.4,89,78,1010,2021-01-05
My Tho,31,23,8,SSW,2.3,83,31,1012,2009-01-07
My Tho,33,25,17,ESE,0.0,61,9,1012,2010-01-07
My Tho,29,23,11,ENE,0.1,73,48,1010,2011-01-07
My Tho,31,24,12,ESE,0.1,75,47,1012,2012-01-07
My Tho,28,24,11,NNE,2.4,89,60,1009,2013-01-07
My Tho,32,22,8,SSE,0.0,70,31,1010,2014-01-07
My Tho,32,24,13,E,0.0,74,29,1010,2015-01-07
My Tho,33,25,18,ESE,0.0,69,23,1014,2016-01-07
My Tho,31,24,20,E,0.0,72,26,1007,2017-01-07
My Tho,33,25,10,ESE,0.2,77,31,1010,2018-01-07
My Tho,32,25,13,E,0.0,64,4,1012,2019-01-07
My Tho,34,24,10,E,0.0,69,37,1011,2020-01-07
My Tho,33,24,5,SSE,0.0,75,20,1009,2021-01-07
My Tho,31,23,7,E,0.0,79,23,1011,2009-01-06
My Tho,33,25,17,ESE,0.2,63,14,1010,2010-01-06
My Tho,32,24,13,E,0.7,74,30,1009,2011-01-06
My Tho,32,23,8,SSW,1.0,77,9,1013,2012-01-06
My Tho,26,22,10,WSW,7.7,83,80,1009,2013-01-06
My Tho,29,23,10,E,0.0,76,30,1010,2014-01-06
My Tho,32,25,11,E,2.5,76,27,1009,2015-01-06
My Tho,33,25,17,ESE,0.0,71,40,1014,2016-01-06
My Tho,31,24,19,E,0.4,71,26,1008,2017-01-06
My Tho,31,25,12,ESE,0.0,79,30,1009,2018-01-06
My Tho,32,25,15,E,0.0,70,15,1013,2019-01-06
My Tho,33,23,7,SSE,0.0,68,23,1012,2020-01-06
My Tho,29,24,5,ESE,0.0,81,43,1009,2021-01-06
My Tho,27,18,14,W,0.0,67,24,1014,2009-01-10
