province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Nam Dinh,18,13,9,NNE,0.2,76,47,1024,2009-01-01
Nam Dinh,20,19,7,NE,3.2,94,99,1015,2010-01-01
Nam Dinh,21,16,8,ENE,0.5,84,70,1015,2011-01-01
Nam Dinh,19,17,9,NE,0.2,69,80,1021,2012-01-01
Nam Dinh,20,13,7,SSW,0.0,50,39,1019,2013-01-01
Nam Dinh,22,12,6,SSW,0.0,48,0,1018,2014-01-01
Nam Dinh,24,15,10,S,0.0,57,0,1023,2015-01-01
Nam Dinh,22,15,8,ESE,0.0,74,86,1025,2016-01-01
Nam Dinh,19,17,8,SW,3.3,79,92,1021,2017-01-01
Nam Dinh,20,16,7,E,0.2,79,85,1019,2018-01-01
Nam Dinh,13,10,13,WNW,0.0,66,88,1027,2019-01-01
Nam Dinh,21,20,13,ENE,0.7,82,93,1023,2020-01-01
Nam Dinh,20,11,9,ESE,0.0,44,9,1024,2021-01-01
Nam Dinh,18,12,8,ESE,2.9,83,65,1021,2009-01-03
Nam Dinh,21,18,6,ENE,0.6,90,84,1016,2010-01-03
Nam Dinh,17,16,14,NE,2.0,85,97,1017,2011-01-03
Nam Dinh,21,17,11,NE,4.4,89,95,1018,2012-01-03
Nam Dinh,15,12,17,S,1.9,80,92,1021,2013-01-03
Nam Dinh,24,17,9,ENE,0.0,77,38,1016,2014-01-03
Nam Dinh,20,17,9,ENE,0.6,79,69,1019,2015-01-03
Nam Dinh,26,18,7,S,0.0,80,15,1018,2016-01-03
Nam Dinh,27,19,8,ESE,0.0,79,27,1019,2017-01-03
Nam Dinh,22,19,10,ENE,1.3,87,90,1017,2018-01-03
Nam Dinh,17,13,8,WSW,0.2,67,95,1024,2019-01-03
Nam Dinh,24,18,13,ESE,0.5,84,81,1020,2020-01-03
Nam Dinh,17,15,10,S,0.0,63,71,1021,2021-01-03
Nam Dinh,16,13,8,ENE,0.0,68,25,1024,2009-01-02
Nam Dinh,19,19,8,ENE,1.8,93,98,1015,2010-01-02
Nam Dinh,23,18,9,E,2.1,87,75,1015,2011-01-02
Nam Dinh,19,17,9,NE,0.8,79,93,1019,2012-01-02
Nam Dinh,20,16,7,NE,0.2,74,74,1017,2013-01-02
Nam Dinh,24,18,9,S,0.0,67,0,1014,2014-01-02
Nam Dinh,23,16,10,E,0.0,64,7,1022,2015-01-02
Nam Dinh,24,17,7,ENE,0.0,77,32,1021,2016-01-02
Nam Dinh,23,17,7,SSW,0.0,83,86,1020,2017-01-02
Nam Dinh,22,18,9,E,0.9,85,75,1017,2018-01-02
Nam Dinh,15,10,10,WNW,0.3,61,99,1026,2019-01-02
Nam Dinh,25,20,10,E,0.7,85,79,1022,2020-01-02
Nam Dinh,21,13,9,SSE,0.0,51,3,1021,2021-01-02
Nam Dinh,23,16,6,ENE,0.6,90,52,1017,2009-01-05
Nam Dinh,29,21,10,SSE,0.0,85,45,1010,2010-01-05
Nam Dinh,20,14,8,NE,0.3,81,67,1017,2011-01-05
Nam Dinh,15,9,11,SSE,0.3,76,67,1022,2012-01-05
Nam Dinh,15,11,12,SSE,0.3,73,72,1017,2013-01-05
Nam Dinh,24,17,10,SE,0.0,69,7,1015,2014-01-05
Nam Dinh,26,21,10,SSE,0.5,84,56,1010,2015-01-05
Nam Dinh,28,18,8,SE,0.0,78,29,1015,2016-01-05
Nam Dinh,28,20,5,E,0.0,72,57,1016,2017-01-05
Nam Dinh,23,20,10,E,0.5,91,98,1013,2018-01-05
Nam Dinh,24,17,9,SSE,0.1,79,74,1020,2019-01-05
Nam Dinh,22,21,13,ESE,2.9,86,82,1017,2020-01-05
Nam Dinh,20,16,8,NE,0.0,63,83,1019,2021-01-05
Nam Dinh,15,13,11,S,0.5,81,81,1025,2009-01-08
Nam Dinh,20,14,8,ESE,1.1,85,71,1019,2010-01-08
Nam Dinh,19,11,9,SE,0.0,68,58,1019,2011-01-08
Nam Dinh,18,14,11,NE,0.2,75,77,1023,2012-01-08
Nam Dinh,17,14,12,ENE,0.4,73,81,1017,2013-01-08
Nam Dinh,22,19,13,E,2.3,82,78,1017,2014-01-08
Nam Dinh,17,15,12,E,2.9,77,97,1023,2015-01-08
