province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Phan Rang,24,23,29,NE,21.0,90,92,1012,2009-01-01
Phan Rang,27,23,20,ENE,0.0,80,12,1012,2010-01-01
Phan Rang,26,22,27,NNE,0.2,77,11,1011,2011-01-01
Phan Rang,25,23,25,NNE,3.6,89,68,1015,2012-01-01
Phan Rang,27,23,29,NNE,0.2,78,29,1013,2013-01-01
Phan Rang,24,21,28,NNE,0.0,78,31,1014,2014-01-01
Phan Rang,25,21,34,NE,0.2,76,24,1015,2015-01-01
Phan Rang,26,23,31,N,4.6,79,53,1017,2016-01-01
Phan Rang,25,23,26,NNE,5.0,92,89,1013,2017-01-01
Phan Rang,26,22,30,NNE,1.1,79,44,1012,2018-01-01
Phan Rang,24,24,50,NNE,83.0,91,100,1014,2019-01-01
Phan Rang,25,23,29,NE,9.0,86,80,1017,2020-01-01
Phan Rang,22,17,39,SSE,3.7,86,100,1013,2021-01-01
Phan Rang,23,23,35,NNE,20.2,89,99,1013,2009-01-02
Phan Rang,27,24,18,SE,0.0,81,32,1012,2010-01-02
Phan Rang,26,22,24,ENE,0.0,80,21,1011,2011-01-02
Phan Rang,24,22,25,NNE,0.8,86,49,1014,2012-01-02
Phan Rang,27,23,26,N,0.2,78,35,1013,2013-01-02
Phan Rang,25,21,20,NNE,0.0,79,20,1013,2014-01-02
Phan Rang,26,21,32,E,2.0,79,46,1014,2015-01-02
Phan Rang,27,24,25,N,1.4,84,63,1016,2016-01-02
Phan Rang,26,23,25,NNE,16.0,89,74,1013,2017-01-02
Phan Rang,27,22,26,N,1.0,81,30,1011,2018-01-02
Phan Rang,26,24,38,NNE,50.0,90,99,1014,2019-01-02
Phan Rang,25,22,30,NNE,8.7,87,69,1017,2020-01-02
Phan Rang,22,17,30,NW,5.9,87,98,1013,2021-01-02
Phan Rang,23,22,32,NNE,10.1,86,83,1013,2009-01-03
Phan Rang,27,24,20,ENE,0.0,81,23,1012,2010-01-03
Phan Rang,27,22,23,E,0.2,81,40,1011,2011-01-03
Phan Rang,24,21,25,NNE,0.0,82,6,1014,2012-01-03
Phan Rang,27,23,27,E,1.9,82,52,1013,2013-01-03
