province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Phan Thiet,28,24,20,ENE,0.6,79,34,1011,2009-01-01
Phan Thiet,30,23,18,NE,0.0,62,9,1011,2010-01-01
Phan Thiet,29,22,14,ENE,0.0,69,12,1009,2011-01-01
Phan Thiet,29,23,19,ENE,0.0,80,34,1013,2012-01-01
Phan Thiet,31,23,17,NE,0.0,66,12,1011,2013-01-01
Phan Thiet,28,20,13,ENE,0.0,74,28,1013,2014-01-01
Phan Thiet,30,21,12,ENE,0.0,69,10,1013,2015-01-01
Phan Thiet,32,21,18,NE,0.0,63,5,1016,2016-01-01
Phan Thiet,31,22,17,NE,0.0,70,16,1012,2017-01-01
Phan Thiet,31,22,21,ENE,0.0,64,9,1010,2018-01-01
Phan Thiet,27,23,13,ENE,6.3,83,77,1013,2019-01-01
Phan Thiet,31,21,21,NE,0.0,64,7,1015,2020-01-01
Phan Thiet,27,22,8,E,0.0,76,31,1011,2021-01-01
Phan Thiet,27,23,20,NE,0.1,78,49,1011,2009-01-02
Phan Thiet,29,23,17,NE,0.0,66,44,1011,2010-01-02
Phan Thiet,29,20,14,NE,0.0,70,12,1010,2011-01-02
Phan Thiet,28,22,18,ENE,0.0,79,14,1013,2012-01-02
Phan Thiet,31,23,15,ENE,0.0,68,19,1011,2013-01-02
Phan Thiet,28,20,11,ENE,0.0,78,25,1012,2014-01-02
Phan Thiet,29,22,8,ENE,0.1,70,37,1013,2015-01-02
Phan Thiet,32,22,13,NE,0.2,67,26,1015,2016-01-02
Phan Thiet,31,22,18,ENE,0.0,70,23,1011,2017-01-02
Phan Thiet,31,21,16,NE,0.0,65,8,1010,2018-01-02
Phan Thiet,27,23,24,NE,5.2,83,73,1013,2019-01-02
Phan Thiet,31,22,22,ENE,0.0,69,4,1015,2020-01-02
Phan Thiet,27,23,9,SE,0.0,75,38,1011,2021-01-02
Phan Thiet,29,23,14,NE,0.3,77,21,1011,2009-01-06
Phan Thiet,31,23,17,ENE,0.0,61,4,1011,2010-01-06
Phan Thiet,30,23,18,ENE,0.0,71,17,1010,2011-01-06
Phan Thiet,29,23,12,ENE,0.0,76,10,1014,2012-01-06
Phan Thiet,27,23,9,ESE,3.6,89,76,1009,2013-01-06
Phan Thiet,29,20,13,ENE,0.0,72,3,1011,2014-01-06
Phan Thiet,31,23,13,ENE,0.0,75,13,1010,2015-01-06
Phan Thiet,32,22,13,ENE,0.0,74,15,1014,2016-01-06
Phan Thiet,31,23,17,ENE,0.0,68,41,1009,2017-01-06
Phan Thiet,31,23,14,ENE,0.0,78,21,1010,2018-01-06
Phan Thiet,30,24,24,ENE,0.0,72,12,1014,2019-01-06
Phan Thiet,29,20,14,ESE,0.0,68,20,1013,2020-01-06
Phan Thiet,28,23,19,ENE,0.0,79,37,1010,2021-01-06
Phan Thiet,30,23,14,NE,0.0,74,10,1013,2009-01-07
Phan Thiet,30,23,20,ENE,0.0,65,6,1013,2010-01-07
Phan Thiet,29,22,20,ENE,0.3,69,24,1011,2011-01-07
Phan Thiet,29,23,15,ENE,0.0,72,28,1013,2012-01-07
Phan Thiet,25,24,13,NE,4.0,91,65,1010,2013-01-07
Phan Thiet,30,20,11,ENE,0.0,70,24,1011,2014-01-07
Phan Thiet,31,23,15,ENE,0.0,74,15,1011,2015-01-07
Phan Thiet,32,22,16,ENE,0.0,70,14,1015,2016-01-07
Phan Thiet,31,23,16,ENE,0.0,70,23,1009,2017-01-07
Phan Thiet,31,23,12,ENE,0.5,76,20,1011,2018-01-07
Phan Thiet,31,22,21,ENE,0.0,67,0,1013,2019-01-07
Phan Thiet,30,22,19,ENE,0.0,72,13,1011,2020-01-07
Phan Thiet,29,22,18,ENE,0.0,77,9,1010,2021-01-07
Phan Thiet,29,22,16,NE,0.0,68,7,1014,2009-01-08
Phan Thiet,31,23,18,ENE,0.0,65,7,1012,2010-01-08
Phan Thiet,29,22,17,NE,0.0,69,19,1010,2011-01-08
Phan Thiet,30,23,16,NE,0.0,70,50,1014,2012-01-08
Phan Thiet,31,23,11,NE,1.1,80,36,1010,2013-01-08
Phan Thiet,29,22,11,ENE,0.2,69,47,1011,2014-01-08
Phan Thiet,30,23,19,ENE,0.0,71,5,1012,2015-01-08
Phan Thiet,32,22,15,ENE,0.0,71,25,1014,2016-01-08
Phan Thiet,31,22,16,ENE,0.0,71,14,1009,2017-01-08
Phan Thiet,31,24,14,ENE,0.0,77,15,1011,2018-01-08
Phan Thiet,30,23,22,ENE,0.0,71,10,1013,2019-01-08
Phan Thiet,31,23,19,ENE,0.0,67,14,1011,2020-01-08
Phan Thiet,28,22,22,ENE,0.0,74,15,1010,2021-01-08
Phan Thiet,28,22,12,NE,0.0,77,35,1011,2009-01-05
