province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Qui Nhon,24,24,29,NE,35.5,89,99,1013,2009-01-01
Qui Nhon,27,23,12,NNE,0.3,84,19,1013,2010-01-01
Qui Nhon,25,21,18,NNE,1.8,83,54,1012,2011-01-01
Qui Nhon,23,22,18,NNE,21.0,95,90,1016,2012-01-01
Qui Nhon,24,22,20,SE,3.6,87,87,1014,2013-01-01
Qui Nhon,22,19,19,NE,0.4,84,70,1016,2014-01-01
Qui Nhon,23,20,27,E,2.2,82,65,1016,2015-01-01
Qui Nhon,25,22,26,NNE,11.1,84,84,1019,2016-01-01
Qui Nhon,25,24,22,NNE,5.8,92,97,1015,2017-01-01
Qui Nhon,25,22,23,NNE,1.8,82,69,1014,2018-01-01
Qui Nhon,25,24,30,NNE,62.8,89,100,1016,2019-01-01
Qui Nhon,25,23,18,NE,12.8,89,72,1018,2020-01-01
Qui Nhon,21,14,30,NNE,9.2,91,100,1015,2021-01-01
Qui Nhon,24,24,32,NE,25.8,88,98,1014,2009-01-02
Qui Nhon,27,23,12,SSE,0.0,84,25,1013,2010-01-02
Qui Nhon,25,22,16,SSE,2.4,85,65,1012,2011-01-02
Qui Nhon,23,21,17,NNE,6.7,91,82,1016,2012-01-02
Qui Nhon,25,22,18,NE,1.6,85,74,1014,2013-01-02
Qui Nhon,24,19,12,SSE,0.0,82,30,1014,2014-01-02
Qui Nhon,23,21,23,E,6.6,89,98,1016,2015-01-02
Qui Nhon,25,23,20,SW,7.2,89,95,1017,2016-01-02
Qui Nhon,26,24,22,NNE,14.2,88,64,1014,2017-01-02
Qui Nhon,25,22,20,E,4.6,85,73,1013,2018-01-02
Qui Nhon,25,23,21,NNE,70.3,90,97,1016,2019-01-02
Qui Nhon,25,23,20,NE,16.5,90,70,1018,2020-01-02
Qui Nhon,21,15,24,N,17.2,93,100,1014,2021-01-02
Qui Nhon,24,23,26,NNE,9.1,85,81,1015,2009-01-03
Qui Nhon,27,23,15,NNE,0.2,84,17,1013,2010-01-03
Qui Nhon,25,22,16,SE,3.0,89,88,1013,2011-01-03
Qui Nhon,24,20,16,E,0.4,85,66,1015,2012-01-03
Qui Nhon,24,22,20,S,8.0,90,96,1015,2013-01-03
Qui Nhon,25,18,10,SE,0.0,83,20,1013,2014-01-03
Qui Nhon,23,22,20,NNE,21.4,92,99,1015,2015-01-03
Qui Nhon,27,22,16,S,1.9,86,60,1016,2016-01-03
Qui Nhon,25,23,22,NNE,1.6,85,90,1014,2017-01-03
Qui Nhon,25,22,18,SW,3.6,88,91,1012,2018-01-03
Qui Nhon,26,23,14,NE,26.4,88,58,1016,2019-01-03
Qui Nhon,24,18,18,NNE,9.0,89,74,1017,2020-01-03
Qui Nhon,21,16,15,W,14.0,94,100,1014,2021-01-03
Qui Nhon,24,22,19,NNE,12.8,88,89,1014,2009-01-04
Qui Nhon,27,22,10,SSE,0.0,84,18,1012,2010-01-04
Qui Nhon,24,23,15,NNE,14.0,91,82,1013,2011-01-04
Qui Nhon,24,20,16,S,1.2,89,75,1016,2012-01-04
Qui Nhon,25,23,22,NNE,7.8,86,75,1013,2013-01-04
Qui Nhon,24,21,21,SE,0.3,83,76,1014,2014-01-04
Qui Nhon,25,23,14,NNE,5.7,89,90,1013,2015-01-04
Qui Nhon,24,22,17,E,2.0,89,69,1014,2016-01-04
Qui Nhon,25,23,17,N,5.0,90,98,1013,2017-01-04
Qui Nhon,24,23,17,NNW,21.9,92,98,1010,2018-01-04
Qui Nhon,25,24,11,NNE,32.1,90,85,1017,2019-01-04
Qui Nhon,24,19,18,NNE,4.5,86,77,1016,2020-01-04
Qui Nhon,24,18,21,NNE,19.4,92,95,1013,2021-01-04
Qui Nhon,25,23,22,NNE,9.2,85,60,1015,2009-01-07
Qui Nhon,27,23,12,NE,2.6,84,16,1015,2010-01-07
Qui Nhon,23,22,23,NNE,9.6,88,81,1015,2011-01-07
Qui Nhon,25,22,15,E,5.7,87,67,1015,2012-01-07
Qui Nhon,24,24,21,NNE,38.5,93,100,1012,2013-01-07
Qui Nhon,26,21,11,SSE,0.0,83,37,1013,2014-01-07
Qui Nhon,26,24,15,NNE,3.3,88,78,1014,2015-01-07
Qui Nhon,27,22,13,ESE,1.2,82,50,1017,2016-01-07
Qui Nhon,26,23,14,SE,1.6,89,73,1011,2017-01-07
Qui Nhon,28,24,6,SW,0.0,85,27,1012,2018-01-07
Qui Nhon,27,24,15,NNE,3.9,84,45,1016,2019-01-07
Qui Nhon,25,20,10,E,1.4,89,58,1014,2020-01-07
Qui Nhon,24,21,19,NNE,11.9,91,80,1013,2021-01-07
Qui Nhon,24,23,17,NNE,13.5,90,85,1013,2009-01-05
Qui Nhon,27,22,5,ESE,0.0,83,7,1012,2010-01-05
Qui Nhon,25,23,17,NE,5.2,89,77,1012,2011-01-05
Qui Nhon,24,22,17,N,4.8,91,83,1016,2012-01-05
Qui Nhon,24,22,22,W,12.8,89,99,1011,2013-01-05
Qui Nhon,24,21,19,NNE,0.4,80,59,1014,2014-01-05
Qui Nhon,27,22,8,ESE,0.2,87,39,1012,2015-01-05
Qui Nhon,28,23,11,ENE,1.0,83,36,1014,2016-01-05
Qui Nhon,26,23,17,N,1.0,87,73,1013,2017-01-05
Qui Nhon,27,23,13,SW,1.7,89,58,1010,2018-01-05
Qui Nhon,27,24,10,NE,12.3,87,57,1016,2019-01-05
