province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Rach Gia,28,21,25,NNE,1.0,81,51,1011,2009-01-02
Rach Gia,30,25,15,ENE,0.0,63,54,1010,2010-01-02
Rach Gia,30,23,9,E,0.5,75,33,1009,2011-01-02
Rach Gia,30,23,19,E,0.0,77,36,1012,2012-01-02
Rach Gia,31,24,9,NNE,0.0,71,34,1011,2013-01-02
Rach Gia,30,23,6,E,0.0,73,26,1012,2014-01-02
Rach Gia,28,20,13,ENE,0.3,66,33,1013,2015-01-02
Rach Gia,31,25,11,E,0.0,68,20,1014,2016-01-02
Rach Gia,30,25,18,ENE,8.5,75,35,1011,2017-01-02
Rach Gia,30,23,10,ENE,0.0,71,11,1009,2018-01-02
Rach Gia,25,24,36,NNE,22.1,77,89,1012,2019-01-02
Rach Gia,31,24,16,ENE,0.0,68,18,1014,2020-01-02
Rach Gia,27,22,18,NNE,0.0,71,48,1011,2021-01-02
Rach Gia,29,21,12,NE,0.9,75,31,1011,2009-01-04
Rach Gia,34,25,17,ESE,0.0,63,59,1009,2010-01-04
Rach Gia,31,24,8,ENE,4.1,78,58,1009,2011-01-04
Rach Gia,30,22,13,ESE,0.6,76,43,1012,2012-01-04
Rach Gia,31,25,9,S,0.3,71,28,1009,2013-01-04
Rach Gia,31,24,7,S,14.1,79,55,1011,2014-01-04
Rach Gia,31,23,11,ENE,11.1,69,39,1010,2015-01-04
Rach Gia,30,25,12,E,2.1,74,54,1012,2016-01-04
Rach Gia,29,25,19,ENE,12.3,75,56,1010,2017-01-04
Rach Gia,31,25,7,SSE,0.0,75,29,1008,2018-01-04
Rach Gia,28,26,32,E,7.8,84,61,1013,2019-01-04
Rach Gia,29,23,11,S,0.0,73,29,1012,2020-01-04
Rach Gia,30,24,9,ESE,0.1,75,49,1010,2021-01-04
Rach Gia,30,22,14,NE,0.0,71,17,1011,2009-01-06
Rach Gia,32,24,17,ESE,5.2,70,25,1010,2010-01-06
Rach Gia,31,24,17,ENE,15.4,78,38,1009,2011-01-06
Rach Gia,31,24,10,SSW,1.7,73,15,1013,2012-01-06
Rach Gia,24,23,18,ESE,24.7,80,74,1009,2013-01-06
Rach Gia,30,23,10,SE,3.0,78,46,1010,2014-01-06
Rach Gia,30,24,9,E,20.5,79,38,1009,2015-01-06
Rach Gia,31,26,14,ESE,0.1,75,41,1013,2016-01-06
Rach Gia,29,25,27,ESE,17.0,77,36,1008,2017-01-06
Rach Gia,30,25,16,ESE,1.1,83,37,1009,2018-01-06
Rach Gia,30,25,23,E,2.5,78,32,1013,2019-01-06
Rach Gia,29,24,8,S,0.0,69,10,1012,2020-01-06
Rach Gia,28,24,12,ENE,0.2,78,44,1009,2021-01-06
Rach Gia,31,23,12,E,0.6,74,25,1012,2009-01-07
Rach Gia,34,24,20,ESE,0.0,62,10,1012,2010-01-07
Rach Gia,30,23,13,ENE,0.0,75,37,1010,2011-01-07
Rach Gia,30,24,16,E,1.6,74,44,1012,2012-01-07
Rach Gia,27,24,20,N,0.8,80,57,1010,2013-01-07
Rach Gia,30,23,7,SSE,0.0,73,41,1010,2014-01-07
Rach Gia,31,24,14,E,16.5,76,55,1010,2015-01-07
Rach Gia,31,25,19,ESE,0.0,74,35,1014,2016-01-07
Rach Gia,30,25,28,E,14.4,78,34,1007,2017-01-07
Rach Gia,30,25,14,ESE,0.7,81,46,1010,2018-01-07
Rach Gia,30,25,23,E,0.0,75,5,1012,2019-01-07
Rach Gia,31,24,12,ENE,0.8,72,43,1011,2020-01-07
Rach Gia,29,24,8,SSE,4.6,80,58,1009,2021-01-07
Rach Gia,25,22,19,NNE,2.5,79,65,1012,2009-01-03
Rach Gia,33,26,16,E,0.8,65,51,1010,2010-01-03
Rach Gia,31,23,9,ENE,0.3,73,33,1009,2011-01-03
Rach Gia,30,23,13,ESE,4.9,78,38,1011,2012-01-03
Rach Gia,32,24,12,NE,0.0,67,29,1011,2013-01-03
Rach Gia,31,24,7,SSW,0.0,72,27,1011,2014-01-03
Rach Gia,29,22,16,ENE,0.0,67,30,1012,2015-01-03
Rach Gia,31,27,10,E,1.0,71,60,1014,2016-01-03
Rach Gia,30,25,17,ENE,0.0,75,50,1010,2017-01-03
Rach Gia,30,24,8,E,0.0,72,26,1009,2018-01-03
Rach Gia,28,24,38,NE,12.3,82,70,1012,2019-01-03
Rach Gia,30,24,11,E,0.0,71,57,1013,2020-01-03
Rach Gia,25,19,12,NE,0.1,75,55,1010,2021-01-03
Rach Gia,28,21,24,NNE,0.0,59,7,1014,2009-01-09
Rach Gia,32,25,8,ESE,0.5,65,33,1011,2010-01-09
Rach Gia,31,23,8,ESE,0.0,71,17,1009,2011-01-09
Rach Gia,30,22,14,E,0.7,70,46,1012,2012-01-09
Rach Gia,30,25,11,NNE,5.1,75,70,1009,2013-01-09
Rach Gia,27,23,14,ESE,0.0,73,42,1011,2014-01-09
Rach Gia,31,23,10,ENE,0.3,75,45,1012,2015-01-09
Rach Gia,31,26,22,ESE,0.0,75,29,1013,2016-01-09
Rach Gia,30,25,26,ESE,0.0,75,27,1008,2017-01-09
Rach Gia,30,25,12,E,7.0,81,36,1011,2018-01-09
Rach Gia,30,25,21,E,0.0,76,25,1013,2019-01-09
Rach Gia,30,24,11,SSE,0.1,72,46,1010,2020-01-09
Rach Gia,29,23,13,NE,0.0,72,30,1010,2021-01-09
Rach Gia,30,21,17,NNE,0.0,66,12,1013,2009-01-08
Rach Gia,33,23,14,ENE,0.0,60,22,1012,2010-01-08
Rach Gia,30,23,10,NE,0.0,72,26,1010,2011-01-08
Rach Gia,30,22,20,NE,0.0,68,43,1013,2012-01-08
Rach Gia,30,24,14,ENE,0.0,75,48,1010,2013-01-08
Rach Gia,29,25,6,S,1.0,74,60,1011,2014-01-08
Rach Gia,31,23,14,E,5.8,78,54,1011,2015-01-08
Rach Gia,31,26,21,ESE,0.2,75,46,1013,2016-01-08
Rach Gia,30,25,29,ESE,0.0,77,25,1008,2017-01-08
Rach Gia,30,25,12,ESE,9.5,80,41,1011,2018-01-08
Rach Gia,29,25,23,E,3.4,78,25,1013,2019-01-08
Rach Gia,31,25,17,E,0.0,70,50,1010,2020-01-08
Rach Gia,30,23,12,E,0.0,78,35,1009,2021-01-08
Rach Gia,27,19,24,NNE,0.0,62,10,1014,2009-01-10
Rach Gia,30,24,11,ESE,0.0,70,42,1011,2010-01-10
Rach Gia,30,21,16,NNE,0.0,61,15,1009,2011-01-10
Rach Gia,31,23,17,NE,0.0,66,41,1011,2012-01-10
Rach Gia,32,24,10,E,7.0,75,30,1010,2013-01-10
Rach Gia,30,22,11,ENE,0.0,72,50,1012,2014-01-10
Rach Gia,31,24,7,E,0.3,74,34,1011,2015-01-10
Rach Gia,31,25,18,ESE,0.0,75,35,1013,2016-01-10
Rach Gia,30,25,20,ESE,0.0,76,30,1009,2017-01-10
Rach Gia,30,25,12,E,23.1,80,33,1012,2018-01-10
Rach Gia,30,25,22,E,0.4,76,20,1012,2019-01-10
Rach Gia,31,25,6,SSE,0.1,71,32,1009,2020-01-10
Rach Gia,28,22,11,ENE,0.0,73,21,1010,2021-01-10
Rach Gia,28,19,22,NNE,0.0,57,5,1017,2009-01-14
Rach Gia,32,23,16,ENE,0.0,58,30,1015,2010-01-14
Rach Gia,31,24,7,ESE,0.0,68,25,1009,2011-01-14
Rach Gia,30,24,19,E,2.9,76,49,1008,2012-01-14
Rach Gia,31,23,11,SE,6.3,78,48,1012,2013-01-14
Rach Gia,30,22,13,ENE,0.0,67,17,1013,2014-01-14
Rach Gia,30,23,12,NE,0.0,68,11,1013,2015-01-14
Rach Gia,32,26,24,ESE,0.0,74,30,1011,2016-01-14
Rach Gia,31,27,14,SE,23.4,75,32,1008,2017-01-14
Rach Gia,29,22,13,E,0.0,68,70,1012,2018-01-14
Rach Gia,31,25,13,E,0.0,72,11,1010,2019-01-14
Rach Gia,32,23,10,ESE,0.0,66,8,1010,2020-01-14
Rach Gia,28,21,8,SE,0.0,65,5,1011,2021-01-14
Rach Gia,30,21,15,NNE,0.0,72,11,1011,2009-01-05
Rach Gia,34,25,16,ESE,0.0,64,25,1009,2010-01-05
Rach Gia,30,24,17,E,6.1,77,62,1008,2011-01-05
Rach Gia,31,23,8,S,0.0,75,18,1013,2012-01-05
Rach Gia,30,23,17,NNE,0.0,64,22,1008,2013-01-05
Rach Gia,31,23,9,SE,0.7,79,40,1010,2014-01-05
Rach Gia,29,25,6,SW,8.7,77,59,1010,2015-01-05
Rach Gia,31,26,10,ESE,2.8,75,82,1012,2016-01-05
Rach Gia,30,24,23,E,0.0,77,23,1009,2017-01-05
Rach Gia,29,26,11,SSW,6.7,80,58,1009,2018-01-05
Rach Gia,29,25,26,E,0.5,82,38,1013,2019-01-05
Rach Gia,29,23,8,SSE,0.0,73,14,1012,2020-01-05
Rach Gia,26,21,13,NE,3.6,83,80,1010,2021-01-05
Rach Gia,29,19,17,NNE,0.0,59,22,1015,2009-01-12
Rach Gia,33,24,12,ESE,0.0,67,38,1013,2010-01-12
Rach Gia,31,23,12,E,0.0,65,12,1008,2011-01-12
Rach Gia,31,23,18,NE,12.9,74,53,1010,2012-01-12
Rach Gia,31,24,8,WSW,0.0,73,17,1011,2013-01-12
Rach Gia,30,24,7,SSE,3.5,74,38,1013,2014-01-12
Rach Gia,32,24,10,ENE,0.1,72,24,1012,2015-01-12
Rach Gia,31,26,14,ESE,0.0,73,35,1012,2016-01-12
Rach Gia,30,25,11,SSW,0.1,77,28,1009,2017-01-12
Rach Gia,29,23,19,NE,0.0,67,17,1012,2018-01-12
Rach Gia,30,25,17,E,24.3,74,39,1012,2019-01-12
Rach Gia,29,24,12,S,0.4,77,68,1010,2020-01-12
Rach Gia,27,22,22,NNE,0.0,66,25,1012,2021-01-12
Rach Gia,29,20,24,NNE,0.0,59,28,1017,2009-01-13
Rach Gia,33,23,14,ENE,0.0,66,23,1014,2010-01-13
Rach Gia,31,23,7,SE,0.1,73,33,1009,2011-01-13
Rach Gia,30,23,15,NE,7.5,79,73,1010,2012-01-13
Rach Gia,30,25,8,SSW,1.4,76,20,1011,2013-01-13
Rach Gia,31,23,12,NE,1.4,69,28,1012,2014-01-13
Rach Gia,31,23,14,E,0.0,68,24,1012,2015-01-13
Rach Gia,31,26,22,ESE,0.1,77,34,1011,2016-01-13
Rach Gia,30,27,16,W,5.9,79,21,1008,2017-01-13
Rach Gia,28,22,15,ENE,0.0,67,15,1012,2018-01-13
Rach Gia,31,25,18,E,0.0,71,41,1011,2019-01-13
Rach Gia,30,24,13,ESE,0.3,72,49,1010,2020-01-13
Rach Gia,26,20,10,ESE,0.0,65,25,1012,2021-01-13
Rach Gia,31,20,11,NE,0.0,63,8,1014,2009-01-17
Rach Gia,31,23,15,ENE,0.0,56,42,1015,2010-01-17
Rach Gia,29,20,13,NE,0.0,64,8,1011,2011-01-17
Rach Gia,30,23,15,ESE,38.5,85,47,1007,2012-01-17
Rach Gia,31,23,8,NE,0.0,68,33,1013,2013-01-17
Rach Gia,29,20,14,NE,0.0,58,14,1014,2014-01-17
Rach Gia,28,23,8,SSW,0.0,66,30,1013,2015-01-17
Rach Gia,32,26,11,S,0.0,76,17,1010,2016-01-17
