province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Tam Ky,22,21,24,NNE,89.8,93,100,1016,2009-01-01
Tam Ky,27,21,6,SE,0.1,85,8,1013,2010-01-01
Tam Ky,24,19,5,SSW,2.7,82,69,1013,2011-01-01
Tam Ky,22,21,10,ESE,25.5,94,100,1018,2012-01-01
Tam Ky,22,18,10,WNW,2.8,88,81,1016,2013-01-01
Tam Ky,21,16,9,SSE,1.2,87,81,1017,2014-01-01
Tam Ky,21,18,15,S,4.5,84,84,1019,2015-01-01
Tam Ky,24,22,16,NNE,33.7,86,77,1021,2016-01-01
Tam Ky,23,21,6,SE,13.8,94,99,1017,2017-01-01
Tam Ky,23,21,10,ENE,10.9,87,76,1016,2018-01-01
Tam Ky,21,21,26,S,38.3,91,100,1020,2019-01-01
Tam Ky,25,23,16,E,31.0,88,71,1020,2020-01-01
Tam Ky,20,14,21,NNE,11.7,86,87,1019,2021-01-01
Tam Ky,22,21,19,NE,39.6,90,100,1017,2009-01-02
Tam Ky,27,21,6,SSE,0.0,85,5,1013,2010-01-02
Tam Ky,25,19,5,S,0.3,85,68,1014,2011-01-02
Tam Ky,22,21,11,ENE,10.8,91,95,1017,2012-01-02
Tam Ky,24,19,7,S,0.6,85,48,1015,2013-01-02
Tam Ky,22,15,6,ESE,0.0,85,35,1014,2014-01-02
Tam Ky,22,18,11,NE,21.6,88,96,1019,2015-01-02
Tam Ky,22,21,10,NW,19.6,92,100,1019,2016-01-02
Tam Ky,26,22,11,NE,33.4,91,85,1016,2017-01-02
Tam Ky,23,21,6,NE,16.6,90,85,1015,2018-01-02
Tam Ky,21,19,24,WSW,53.2,92,100,1019,2019-01-02
Tam Ky,25,23,13,ENE,16.8,87,77,1020,2020-01-02
Tam Ky,20,13,15,NNE,10.5,88,99,1018,2021-01-02
Tam Ky,22,21,13,ENE,15.5,89,91,1017,2009-01-03
Tam Ky,27,21,6,S,0.0,86,15,1014,2010-01-03
Tam Ky,25,20,6,W,0.5,85,48,1014,2011-01-03
Tam Ky,23,18,4,E,0.2,86,60,1016,2012-01-03
Tam Ky,25,21,8,WNW,2.2,86,78,1017,2013-01-03
Tam Ky,24,17,8,ESE,0.2,86,36,1014,2014-01-03
Tam Ky,22,20,8,ESE,16.0,90,99,1017,2015-01-03
Tam Ky,24,22,10,NNW,6.9,91,100,1017,2016-01-03
Tam Ky,25,22,10,ENE,4.8,88,80,1016,2017-01-03
Tam Ky,22,22,7,WSW,18.0,93,98,1014,2018-01-03
Tam Ky,22,21,19,WSW,84.3,93,100,1019,2019-01-03
Tam Ky,24,22,12,ENE,6.8,85,77,1018,2020-01-03
Tam Ky,21,18,11,WNW,4.5,89,99,1017,2021-01-03
Tam Ky,24,20,10,SE,6.0,88,83,1015,2009-01-04
Tam Ky,27,21,11,S,0.0,84,22,1012,2010-01-04
Tam Ky,24,20,5,S,4.0,89,83,1014,2011-01-04
Tam Ky,22,19,9,WSW,10.8,91,93,1017,2012-01-04
Tam Ky,23,21,7,SW,10.4,87,91,1015,2013-01-04
Tam Ky,22,19,9,SW,2.9,87,74,1016,2014-01-04
Tam Ky,24,20,6,SSW,2.0,88,73,1014,2015-01-04
Tam Ky,23,22,8,SW,3.3,90,86,1015,2016-01-04
Tam Ky,24,21,7,W,5.2,90,96,1015,2017-01-04
Tam Ky,23,22,5,WNW,10.3,94,99,1012,2018-01-04
Tam Ky,25,21,10,WNW,0.3,89,98,1019,2019-01-04
Tam Ky,25,21,8,ENE,3.2,80,67,1017,2020-01-04
Tam Ky,21,15,12,SW,56.1,95,100,1016,2021-01-04
Tam Ky,23,21,8,NNE,6.5,89,81,1015,2009-01-05
Tam Ky,28,22,14,SSE,0.0,78,19,1012,2010-01-05
Tam Ky,25,21,5,SSW,3.3,87,65,1014,2011-01-05
Tam Ky,21,20,12,WNW,29.2,94,99,1017,2012-01-05
Tam Ky,24,20,9,WSW,5.9,88,93,1013,2013-01-05
Tam Ky,23,20,7,SE,2.2,82,73,1015,2014-01-05
Tam Ky,26,21,9,SE,0.0,88,41,1012,2015-01-05
Tam Ky,27,22,8,ESE,5.6,85,42,1015,2016-01-05
Tam Ky,25,21,7,WSW,4.3,90,78,1014,2017-01-05
Tam Ky,26,23,6,NW,32.9,94,92,1011,2018-01-05
Tam Ky,25,22,7,SW,5.0,90,88,1018,2019-01-05
Tam Ky,25,21,5,S,4.1,81,56,1017,2020-01-05
Tam Ky,22,16,9,WSW,24.2,93,100,1016,2021-01-05
Tam Ky,24,22,10,ENE,13.1,90,80,1015,2009-01-06
Tam Ky,28,22,10,SSE,0.0,82,8,1013,2010-01-06
Tam Ky,23,20,9,S,9.9,88,84,1016,2011-01-06
Tam Ky,22,19,11,NW,6.7,93,93,1018,2012-01-06
Tam Ky,23,22,11,ENE,35.0,92,100,1014,2013-01-06
Tam Ky,24,18,7,SE,0.0,82,43,1014,2014-01-06
Tam Ky,27,21,8,SE,0.0,89,36,1012,2015-01-06
Tam Ky,28,21,6,ESE,3.0,84,18,1016,2016-01-06
Tam Ky,25,22,7,W,5.8,89,89,1013,2017-01-06
Tam Ky,28,22,6,SE,1.0,90,77,1011,2018-01-06
Tam Ky,25,23,7,S,8.6,90,77,1018,2019-01-06
Tam Ky,26,20,8,S,0.1,81,44,1016,2020-01-06
Tam Ky,22,19,14,ENE,12.6,88,92,1015,2021-01-06
Tam Ky,23,22,9,NNE,12.7,88,56,1017,2009-01-07
Tam Ky,27,21,7,ESE,0.4,84,14,1016,2010-01-07
Tam Ky,21,21,16,NNE,68.6,92,100,1017,2011-01-07
Tam Ky,25,21,9,ESE,10.0,88,73,1017,2012-01-07
Tam Ky,23,22,11,NNE,18.5,92,100,1014,2013-01-07
Tam Ky,25,17,8,SE,0.0,82,1,1013,2014-01-07
Tam Ky,25,22,9,ENE,12.9,91,91,1015,2015-01-07
Tam Ky,27,21,7,SSE,1.4,83,58,1017,2016-01-07
Tam Ky,26,21,8,S,3.7,89,89,1011,2017-01-07
Tam Ky,29,23,8,SSE,0.7,87,30,1012,2018-01-07
Tam Ky,26,23,9,ENE,3.8,82,74,1018,2019-01-07
Tam Ky,25,20,7,SE,0.1,86,50,1014,2020-01-07
Tam Ky,23,19,12,ENE,17.7,88,93,1015,2021-01-07
Tam Ky,18,17,20,S,11.2,85,98,1021,2009-01-10
Tam Ky,27,22,14,SE,0.4,82,27,1013,2010-01-10
Tam Ky,21,20,15,ENE,11.5,90,99,1015,2011-01-10
Tam Ky,21,19,13,NW,9.6,91,97,1018,2012-01-10
Tam Ky,21,19,14,NW,27.7,92,99,1016,2013-01-10
Tam Ky,22,21,9,NE,25.9,90,93,1018,2014-01-10
Tam Ky,22,21,11,E,47.1,92,100,1017,2015-01-10
Tam Ky,28,22,13,SE,0.5,84,30,1015,2016-01-10
Tam Ky,26,22,7,SE,6.4,87,69,1013,2017-01-10
Tam Ky,20,18,16,NW,1.4,85,100,1020,2018-01-10
Tam Ky,27,21,6,SSE,2.0,87,62,1017,2019-01-10
