province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Tan An,29,22,9,SE,3.8,84,57,1011,2009-01-02
Tan An,31,24,9,ENE,0.3,61,45,1010,2010-01-02
Tan An,32,22,6,ESE,0.0,71,16,1009,2011-01-02
Tan An,31,24,12,ESE,0.0,75,26,1012,2012-01-02
Tan An,33,25,5,ESE,0.0,67,26,1010,2013-01-02
Tan An,30,23,7,SSE,0.0,77,45,1012,2014-01-02
Tan An,29,21,4,SW,0.8,76,51,1013,2015-01-02
Tan An,34,24,10,SE,0.1,62,23,1014,2016-01-02
Tan An,31,24,11,ENE,5.7,74,30,1011,2017-01-02
Tan An,33,24,7,E,0.0,65,8,1009,2018-01-02
Tan An,25,22,13,ENE,19.9,84,78,1012,2019-01-02
Tan An,33,25,9,E,0.0,60,12,1014,2020-01-02
Tan An,28,22,7,WNW,0.0,72,48,1011,2021-01-02
Tan An,29,21,5,SSE,0.6,84,41,1011,2009-01-04
Tan An,35,25,12,ESE,0.2,62,40,1009,2010-01-04
Tan An,28,24,5,ESE,1.1,81,74,1009,2011-01-04
Tan An,31,23,8,ESE,0.2,75,30,1012,2012-01-04
Tan An,32,26,4,SSW,1.1,70,53,1009,2013-01-04
Tan An,33,23,8,S,1.8,75,46,1011,2014-01-04
Tan An,32,24,6,S,0.0,71,35,1010,2015-01-04
Tan An,31,24,7,SSE,0.3,73,54,1012,2016-01-04
Tan An,31,24,10,ENE,2.5,73,43,1009,2017-01-04
Tan An,36,24,6,SSE,0.0,70,28,1008,2018-01-04
Tan An,31,25,19,E,0.0,73,27,1013,2019-01-04
Tan An,34,24,7,SE,0.0,67,13,1012,2020-01-04
Tan An,32,23,8,SW,0.3,73,44,1010,2021-01-04
Tan An,28,22,7,S,14.1,90,76,1010,2009-01-01
Tan An,34,24,7,E,0.0,61,21,1010,2010-01-01
Tan An,28,23,5,S,0.5,82,43,1008,2011-01-01
Tan An,32,24,12,E,0.1,75,29,1012,2012-01-01
Tan An,33,25,5,SSE,0.0,69,21,1010,2013-01-01
Tan An,29,21,7,SSW,0.0,72,36,1012,2014-01-01
Tan An,30,21,6,WSW,0.4,73,37,1012,2015-01-01
Tan An,32,23,6,ESE,0.1,79,25,1011,2009-01-06
Tan An,34,23,8,ENE,0.0,59,7,1015,2016-01-01
Tan An,32,23,8,ENE,1.6,76,25,1011,2017-01-01
Tan An,33,23,5,SE,0.0,62,21,1010,2018-01-01
Tan An,28,23,15,SSE,2.9,67,52,1013,2019-01-01
Tan An,34,24,9,ESE,0.0,56,11,1014,2020-01-01
Tan An,30,22,8,WSW,0.0,68,33,1011,2021-01-01
Tan An,34,25,15,ESE,0.0,59,13,1010,2010-01-06
Tan An,33,24,9,ENE,1.2,73,30,1009,2011-01-06
Tan An,32,23,8,SSW,1.0,75,16,1013,2012-01-06
Tan An,26,22,9,SW,3.8,83,76,1009,2013-01-06
Tan An,29,23,8,SE,0.1,75,33,1010,2014-01-06
Tan An,33,25,9,E,2.6,73,27,1009,2015-01-06
Tan An,33,25,17,ESE,0.0,68,44,1014,2016-01-06
Tan An,32,24,15,E,0.1,69,27,1008,2017-01-06
Tan An,32,25,13,ESE,0.0,76,19,1009,2018-01-06
Tan An,33,25,15,E,0.0,65,20,1013,2019-01-06
Tan An,33,24,8,SSW,0.0,66,22,1012,2020-01-06
Tan An,29,24,5,SW,0.0,78,39,1009,2021-01-06
Tan An,30,22,5,ENE,0.0,79,30,1011,2009-01-05
Tan An,34,25,13,ESE,0.0,59,32,1009,2010-01-05
Tan An,32,24,9,E,0.8,73,57,1008,2011-01-05
Tan An,33,23,6,SE,0.0,76,22,1012,2012-01-05
Tan An,29,22,5,WSW,0.0,71,36,1008,2013-01-05
Tan An,30,23,7,SE,0.5,79,45,1010,2014-01-05
Tan An,33,24,7,SSE,0.0,71,55,1010,2015-01-05
Tan An,33,25,11,SE,0.4,69,52,1012,2016-01-05
Tan An,32,24,12,E,0.0,73,19,1009,2017-01-05
Tan An,33,25,9,SE,0.0,73,52,1009,2018-01-05
Tan An,32,25,17,ESE,0.0,71,11,1013,2019-01-05
Tan An,37,25,5,SSE,0.0,65,3,1012,2020-01-05
Tan An,26,24,5,WNW,5.0,84,80,1010,2021-01-05
Tan An,32,20,12,E,0.0,68,6,1014,2009-01-09
Tan An,32,24,8,ESE,0.0,66,32,1011,2010-01-09
Tan An,32,23,4,SSE,0.0,72,29,1009,2011-01-09
Tan An,31,23,10,SE,0.2,69,47,1011,2012-01-09
Tan An,33,25,6,SW,5.2,78,48,1009,2013-01-09
Tan An,30,24,12,ESE,0.0,66,40,1011,2014-01-09
Tan An,34,24,8,E,0.0,65,24,1012,2015-01-09
