province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Thanh Hoa,15,13,12,ENE,0.8,75,30,1024,2009-01-02
Thanh Hoa,21,19,9,NNE,2.0,94,99,1015,2010-01-02
Thanh Hoa,22,19,7,SE,2.0,86,82,1015,2011-01-02
Thanh Hoa,19,17,11,NNE,2.5,85,91,1019,2012-01-02
Thanh Hoa,22,15,6,SSE,0.3,77,68,1016,2013-01-02
Thanh Hoa,21,15,9,S,0.0,71,0,1014,2014-01-02
Thanh Hoa,20,15,11,NE,0.6,72,26,1022,2015-01-02
Thanh Hoa,23,17,9,E,0.2,79,56,1021,2016-01-02
Thanh Hoa,22,18,10,SE,0.4,85,98,1019,2017-01-02
Thanh Hoa,22,19,7,NE,1.4,86,82,1017,2018-01-02
Thanh Hoa,15,12,12,W,0.1,66,96,1026,2019-01-02
Thanh Hoa,24,19,5,SE,0.4,87,75,1022,2020-01-02
Thanh Hoa,19,11,9,SSW,0.0,59,11,1021,2021-01-02
Thanh Hoa,24,16,5,S,1.2,90,55,1017,2009-01-05
Thanh Hoa,28,20,8,SSE,0.0,85,15,1010,2010-01-05
Thanh Hoa,19,15,10,NE,0.5,85,64,1016,2011-01-05
Thanh Hoa,16,10,14,NNE,0.8,81,70,1022,2012-01-05
Thanh Hoa,17,13,14,ENE,0.6,80,63,1016,2013-01-05
Thanh Hoa,23,16,7,SSE,0.0,74,6,1015,2014-01-05
Thanh Hoa,25,20,8,SSE,0.4,86,35,1010,2015-01-05
Thanh Hoa,26,18,8,ESE,0.1,80,28,1015,2016-01-05
Thanh Hoa,26,20,7,ESE,0.0,78,59,1016,2017-01-05
Thanh Hoa,24,21,7,ENE,0.6,91,93,1013,2018-01-05
Thanh Hoa,24,18,8,S,0.1,78,68,1020,2019-01-05
Thanh Hoa,25,21,8,S,1.5,82,71,1017,2020-01-05
Thanh Hoa,21,16,9,SSE,0.0,69,88,1019,2021-01-05
Thanh Hoa,16,13,11,NNE,2.4,83,78,1023,2009-01-01
Thanh Hoa,23,20,6,E,2.8,93,97,1014,2010-01-01
Thanh Hoa,22,17,7,NNE,0.6,82,54,1015,2011-01-01
