province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Tra Vinh,24,22,8,ESE,15.2,91,78,1011,2009-01-03
Tra Vinh,28,26,19,E,0.5,72,48,1010,2010-01-03
Tra Vinh,31,23,13,E,0.2,77,28,1009,2011-01-03
Tra Vinh,28,23,21,E,0.1,77,18,1012,2012-01-03
Tra Vinh,31,25,17,ENE,0.2,76,25,1011,2013-01-03
Tra Vinh,30,22,10,ENE,0.0,79,16,1012,2014-01-03
Tra Vinh,30,22,7,S,0.3,73,36,1012,2015-01-03
Tra Vinh,32,25,15,E,2.3,74,44,1014,2016-01-03
Tra Vinh,30,25,23,E,0.0,71,31,1010,2017-01-03
Tra Vinh,32,24,9,E,0.0,76,19,1009,2018-01-03
Tra Vinh,27,23,24,ENE,14.8,89,91,1012,2019-01-03
Tra Vinh,31,25,20,ENE,0.0,64,9,1013,2020-01-03
Tra Vinh,27,23,7,SE,0.0,79,47,1010,2021-01-03
Tra Vinh,28,22,13,NNE,0.3,85,51,1011,2009-01-02
Tra Vinh,29,25,19,ENE,0.9,68,49,1010,2010-01-02
Tra Vinh,30,23,17,E,0.0,73,14,1009,2011-01-02
Tra Vinh,28,24,26,E,0.0,79,26,1012,2012-01-02
Tra Vinh,31,25,17,E,0.0,73,27,1010,2013-01-02
Tra Vinh,28,23,13,E,0.0,80,44,1012,2014-01-02
Tra Vinh,27,22,5,SE,0.7,81,51,1013,2015-01-02
Tra Vinh,33,24,14,SE,0.4,68,31,1014,2016-01-02
Tra Vinh,30,24,23,ENE,0.2,75,18,1010,2017-01-02
Tra Vinh,30,23,11,ENE,0.0,72,10,1009,2018-01-02
Tra Vinh,23,22,20,ENE,24.5,91,89,1011,2019-01-02
Tra Vinh,31,24,18,ENE,0.0,67,9,1014,2020-01-02
Tra Vinh,27,22,6,SW,0.4,79,61,1010,2021-01-02
Tra Vinh,29,22,8,SE,0.0,82,29,1010,2009-01-05
Tra Vinh,32,25,19,E,0.1,69,25,1009,2010-01-05
Tra Vinh,29,24,23,E,0.6,77,63,1008,2011-01-05
Tra Vinh,30,23,14,E,0.0,80,10,1012,2012-01-05
Tra Vinh,29,23,5,WSW,0.2,73,34,1008,2013-01-05
Tra Vinh,28,23,16,E,0.3,81,58,1010,2014-01-05
Tra Vinh,31,24,14,ENE,3.9,76,45,1010,2015-01-05
Tra Vinh,31,25,16,ESE,0.5,76,36,1012,2016-01-05
Tra Vinh,30,24,24,E,0.0,76,14,1009,2017-01-05
Tra Vinh,30,24,10,ESE,0.1,80,46,1009,2018-01-05
Tra Vinh,30,25,20,E,0.3,81,47,1013,2019-01-05
Tra Vinh,30,22,12,E,0.0,71,7,1011,2020-01-05
Tra Vinh,25,24,7,S,3.1,92,87,1010,2021-01-05
Tra Vinh,30,24,11,SSE,3.1,83,34,1012,2009-01-07
Tra Vinh,31,25,22,E,0.0,67,7,1012,2010-01-07
Tra Vinh,28,24,22,ENE,0.2,73,42,1010,2011-01-07
Tra Vinh,30,23,18,E,0.2,78,53,1012,2012-01-07
Tra Vinh,27,24,13,ENE,4.4,89,58,1009,2013-01-07
Tra Vinh,30,23,12,ENE,0.1,74,37,1010,2014-01-07
Tra Vinh,31,24,21,E,0.0,77,32,1010,2015-01-07
Tra Vinh,31,25,23,E,0.0,74,22,1014,2016-01-07
Tra Vinh,30,25,26,E,0.0,76,28,1007,2017-01-07
Tra Vinh,31,25,11,E,0.7,81,44,1010,2018-01-07
Tra Vinh,30,25,21,E,0.0,73,3,1012,2019-01-07
Tra Vinh,32,24,16,E,0.0,71,25,1011,2020-01-07
Tra Vinh,30,24,14,E,0.0,73,25,1009,2021-01-07
Tra Vinh,27,21,7,E,0.5,87,30,1011,2009-01-04
Tra Vinh,32,25,20,E,0.0,67,40,1009,2010-01-04
Tra Vinh,30,24,15,ENE,1.5,80,58,1009,2011-01-04
Tra Vinh,28,23,20,E,0.0,78,10,1012,2012-01-04
Tra Vinh,31,25,13,E,0.9,75,34,1009,2013-01-04
Tra Vinh,31,23,14,E,3.6,80,41,1011,2014-01-04
Tra Vinh,30,24,11,ENE,0.3,76,43,1010,2015-01-04
Tra Vinh,30,24,13,E,0.4,76,46,1012,2016-01-04
Tra Vinh,30,24,21,ENE,0.1,73,43,1009,2017-01-04
Tra Vinh,34,24,5,S,0.0,78,30,1008,2018-01-04
Tra Vinh,29,25,24,E,4.9,84,71,1013,2019-01-04
Tra Vinh,31,21,15,E,0.0,67,9,1012,2020-01-04
Tra Vinh,31,22,11,ESE,0.1,79,47,1010,2021-01-04
Tra Vinh,27,23,14,NE,13.1,89,61,1010,2009-01-01
Tra Vinh,31,24,17,ENE,0.0,64,21,1010,2010-01-01
Tra Vinh,28,24,13,E,0.0,76,40,1008,2011-01-01
Tra Vinh,29,24,28,E,0.2,80,39,1012,2012-01-01
Tra Vinh,30,25,17,ENE,0.0,72,19,1010,2013-01-01
Tra Vinh,28,22,12,E,0.0,77,46,1012,2014-01-01
Tra Vinh,29,23,10,ENE,0.7,77,34,1012,2015-01-01
Tra Vinh,31,23,18,ENE,0.0,65,7,1015,2016-01-01
Tra Vinh,30,24,19,ENE,3.6,77,26,1011,2017-01-01
Tra Vinh,29,23,14,ENE,0.0,69,27,1010,2018-01-01
Tra Vinh,26,22,14,SSW,7.9,79,55,1013,2019-01-01
Tra Vinh,32,23,18,ENE,0.0,61,8,1014,2020-01-01
Tra Vinh,29,21,7,WSW,0.0,74,39,1011,2021-01-01
Tra Vinh,28,20,8,SE,0.0,72,33,1015,2009-01-12
Tra Vinh,32,24,19,E,0.0,69,14,1013,2010-01-12
Tra Vinh,30,23,8,SSE,0.0,76,27,1008,2011-01-12
Tra Vinh,30,24,19,NE,0.6,77,43,1010,2012-01-12
Tra Vinh,32,24,10,ENE,0.0,74,13,1011,2013-01-12
Tra Vinh,30,24,16,E,1.0,78,37,1013,2014-01-12
Tra Vinh,30,24,14,E,0.1,77,24,1011,2015-01-12
Tra Vinh,32,25,18,E,0.2,77,10,1012,2016-01-12
Tra Vinh,32,24,7,SW,0.2,78,26,1008,2017-01-12
Tra Vinh,30,23,12,ESE,0.0,67,18,1012,2018-01-12
Tra Vinh,31,25,19,E,2.4,70,37,1012,2019-01-12
Tra Vinh,31,24,9,ESE,1.2,76,44,1010,2020-01-12
Tra Vinh,28,22,8,NE,0.0,72,40,1011,2021-01-12
Tra Vinh,26,19,11,S,0.0,73,40,1014,2009-01-11
Tra Vinh,31,24,12,E,1.6,73,37,1012,2010-01-11
Tra Vinh,31,23,6,SSW,0.0,75,17,1008,2011-01-11
Tra Vinh,29,24,13,NE,0.3,79,53,1011,2012-01-11
Tra Vinh,31,24,15,E,0.7,78,20,1010,2013-01-11
Tra Vinh,30,23,17,E,0.0,73,34,1013,2014-01-11
Tra Vinh,30,24,17,ENE,1.2,76,26,1011,2015-01-11
Tra Vinh,31,24,12,ESE,0.0,76,31,1013,2016-01-11
Tra Vinh,30,25,17,E,1.9,76,39,1009,2017-01-11
Tra Vinh,32,24,11,ESE,0.0,69,20,1012,2018-01-11
Tra Vinh,31,25,18,E,0.3,73,29,1012,2019-01-11
Tra Vinh,31,24,9,ESE,0.0,74,24,1009,2020-01-11
Tra Vinh,30,22,7,SE,0.0,72,31,1010,2021-01-11
Tra Vinh,29,21,11,E,0.2,73,13,1014,2009-01-09
Tra Vinh,31,24,17,E,0.3,69,28,1011,2010-01-09
Tra Vinh,31,24,14,E,0.0,71,19,1009,2011-01-09
Tra Vinh,29,24,17,E,0.3,75,54,1011,2012-01-09
Tra Vinh,30,25,7,SSE,7.6,82,41,1009,2013-01-09
Tra Vinh,25,23,22,E,2.8,78,67,1011,2014-01-09
Tra Vinh,30,24,21,ENE,0.0,72,16,1012,2015-01-09
