province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Uong Bi,21,14,10,ENE,0.3,81,41,1018,2009-01-04
Uong Bi,24,18,10,SE,1.3,90,68,1011,2010-01-04
Uong Bi,16,11,11,NE,1.5,81,88,1019,2011-01-04
Uong Bi,10,9,13,ESE,5.0,84,91,1024,2012-01-04
Uong Bi,12,10,12,NNE,0.8,83,77,1021,2013-01-04
Uong Bi,22,15,8,ENE,0.0,71,12,1018,2014-01-04
Uong Bi,20,16,10,ESE,1.0,88,72,1014,2015-01-04
Uong Bi,19,15,10,ENE,0.2,82,61,1017,2016-01-04
Uong Bi,25,17,9,ENE,0.0,78,19,1016,2017-01-04
Uong Bi,22,19,8,E,2.2,91,95,1015,2018-01-04
Uong Bi,16,14,5,ESE,2.9,91,100,1023,2019-01-04
Uong Bi,23,18,9,E,1.3,83,77,1018,2020-01-04
Uong Bi,20,11,5,ESE,0.0,48,66,1020,2021-01-04
Uong Bi,22,17,14,ENE,0.7,84,24,1018,2009-01-06
Uong Bi,16,15,15,NE,11.3,89,92,1017,2010-01-06
Uong Bi,16,11,11,NNE,1.0,70,80,1022,2011-01-06
Uong Bi,15,11,9,E,0.3,76,93,1023,2012-01-06
Uong Bi,16,10,9,ENE,0.1,67,53,1020,2013-01-06
Uong Bi,20,18,12,SE,4.1,93,77,1013,2014-01-06
Uong Bi,21,19,10,E,1.9,94,78,1013,2015-01-06
Uong Bi,24,17,7,E,0.0,86,16,1017,2016-01-06
Uong Bi,25,18,6,SE,0.0,83,36,1014,2017-01-06
Uong Bi,20,18,9,ENE,0.4,87,97,1012,2018-01-06
Uong Bi,21,17,6,ENE,1.0,82,100,1021,2019-01-06
Uong Bi,25,18,8,ESE,0.6,78,44,1016,2020-01-06
Uong Bi,19,14,6,ENE,0.0,55,96,1019,2021-01-06
Uong Bi,17,11,14,NNE,0.0,67,35,1025,2009-01-01
Uong Bi,19,17,14,ENE,2.4,92,96,1015,2010-01-01
Uong Bi,19,16,17,ENE,1.4,80,71,1015,2011-01-01
Uong Bi,20,15,9,NE,0.0,67,86,1021,2012-01-01
Uong Bi,17,11,7,ENE,0.0,55,29,1019,2013-01-01
Uong Bi,19,12,6,SSE,0.0,58,0,1018,2014-01-01
Uong Bi,21,14,11,ENE,0.0,55,0,1023,2015-01-01
Uong Bi,21,13,7,ENE,0.1,76,48,1025,2016-01-01
