province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Vinh Long,29,21,15,NE,1.1,84,50,1011,2009-01-02
Vinh Long,30,24,12,ENE,0.3,64,45,1010,2010-01-02
Vinh Long,31,22,9,E,0.0,73,22,1009,2011-01-02
Vinh Long,30,23,15,ESE,0.0,78,29,1012,2012-01-02
Vinh Long,33,24,6,ESE,0.0,71,29,1010,2013-01-02
Vinh Long,30,22,6,S,0.0,78,37,1012,2014-01-02
Vinh Long,29,19,6,S,0.4,74,32,1013,2015-01-02
Vinh Long,33,23,9,S,0.0,64,29,1014,2016-01-02
Vinh Long,31,23,14,ENE,0.8,76,24,1011,2017-01-02
Vinh Long,31,22,7,E,0.0,72,8,1009,2018-01-02
Vinh Long,24,22,19,N,14.4,85,76,1012,2019-01-02
Vinh Long,32,23,10,ENE,0.0,66,12,1014,2020-01-02
Vinh Long,26,21,7,SSE,0.0,76,49,1011,2021-01-02
Vinh Long,26,21,13,S,5.8,93,91,1010,2009-01-01
Vinh Long,33,23,10,E,0.0,64,20,1010,2010-01-01
Vinh Long,29,23,6,S,0.1,79,36,1008,2011-01-01
Vinh Long,31,23,16,E,0.2,78,39,1012,2012-01-01
Vinh Long,31,23,7,S,0.0,71,31,1010,2013-01-01
Vinh Long,29,20,7,SW,0.0,71,43,1012,2014-01-01
Vinh Long,29,21,7,SW,0.2,76,28,1012,2015-01-01
Vinh Long,32,22,11,ENE,0.0,60,12,1015,2016-01-01
Vinh Long,31,23,10,ENE,0.2,78,32,1011,2017-01-01
Vinh Long,30,22,5,E,0.0,70,27,1010,2018-01-01
Vinh Long,28,23,19,E,1.2,67,51,1013,2019-01-01
Vinh Long,33,22,9,ENE,0.0,62,11,1014,2020-01-01
Vinh Long,27,21,9,S,0.0,72,34,1011,2021-01-01
Vinh Long,28,20,7,ENE,0.1,83,27,1011,2009-01-04
Vinh Long,34,24,16,ESE,0.0,64,51,1009,2010-01-04
Vinh Long,30,23,6,SE,1.2,79,57,1009,2011-01-04
Vinh Long,30,22,11,ESE,0.1,77,22,1012,2012-01-04
Vinh Long,32,25,5,SSW,2.7,72,44,1009,2013-01-04
Vinh Long,32,22,8,ESE,4.6,78,38,1011,2014-01-04
Vinh Long,32,22,7,SSW,0.2,71,38,1010,2015-01-04
Vinh Long,31,24,9,SE,0.1,76,56,1012,2016-01-04
Vinh Long,30,23,12,ENE,1.2,75,58,1009,2017-01-04
Vinh Long,34,23,6,S,0.1,74,26,1008,2018-01-04
Vinh Long,30,24,20,E,1.0,82,42,1013,2019-01-04
Vinh Long,33,22,8,E,0.0,72,18,1012,2020-01-04
Vinh Long,31,23,7,S,0.4,78,45,1010,2021-01-04
Vinh Long,30,22,9,SSE,1.2,82,27,1012,2009-01-07
Vinh Long,33,24,17,ESE,0.0,62,9,1012,2010-01-07
Vinh Long,30,22,11,ENE,0.0,73,37,1010,2011-01-07
Vinh Long,31,22,12,ESE,0.1,76,49,1012,2012-01-07
Vinh Long,28,23,13,N,1.5,87,68,1009,2013-01-07
Vinh Long,32,22,8,SSE,0.2,70,39,1010,2014-01-07
Vinh Long,32,23,13,E,0.1,76,37,1010,2015-01-07
Vinh Long,33,24,16,ESE,0.0,71,29,1014,2016-01-07
Vinh Long,31,24,19,E,0.0,75,24,1007,2017-01-07
Vinh Long,32,23,11,ESE,0.3,80,46,1010,2018-01-07
Vinh Long,32,23,14,E,0.0,70,6,1012,2019-01-07
