province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Vinh,15,14,15,N,13.8,92,100,1022,2009-01-01
Vinh,26,21,7,SE,0.4,90,60,1013,2010-01-01
Vinh,22,16,6,WSW,1.1,86,63,1014,2011-01-01
Vinh,18,17,13,N,5.4,90,80,1020,2012-01-01
Vinh,19,15,8,SSW,1.2,77,58,1018,2013-01-01
Vinh,19,12,6,SSW,0.0,66,0,1018,2014-01-01
Vinh,21,14,11,S,0.0,74,1,1022,2015-01-01
Vinh,20,16,12,NNW,3.4,81,97,1024,2016-01-01
Vinh,18,16,11,NW,5.1,89,100,1019,2017-01-01
Vinh,19,16,6,NW,1.3,86,94,1017,2018-01-01
Vinh,15,14,14,NW,0.8,77,99,1025,2019-01-01
Vinh,20,14,11,NW,11.7,94,100,1022,2020-01-01
Vinh,16,13,12,S,0.1,70,76,1023,2021-01-01
Vinh,15,13,13,NW,4.6,92,98,1020,2009-01-03
Vinh,21,21,9,NE,5.0,94,96,1015,2010-01-03
Vinh,21,19,14,ESE,6.4,92,86,1015,2011-01-03
Vinh,22,18,7,S,0.6,90,73,1016,2012-01-03
Vinh,20,17,15,S,4.3,89,82,1018,2013-01-03
Vinh,21,16,8,SE,0.7,85,40,1015,2014-01-03
Vinh,20,16,7,WSW,1.7,86,58,1018,2015-01-03
Vinh,24,19,7,S,0.4,85,40,1018,2016-01-03
Vinh,22,20,9,S,2.4,92,75,1018,2017-01-03
Vinh,22,20,6,SE,1.9,90,92,1015,2018-01-03
Vinh,19,14,9,WSW,0.6,77,86,1022,2019-01-03
Vinh,24,20,8,SSW,1.2,90,83,1019,2020-01-03
Vinh,17,13,9,SW,0.3,80,78,1019,2021-01-03
Vinh,22,17,7,SSW,0.1,92,66,1016,2009-01-05
Vinh,29,20,8,SSE,0.0,81,11,1010,2010-01-05
Vinh,19,17,10,ESE,3.4,91,71,1015,2011-01-05
Vinh,16,14,13,ESE,4.5,89,78,1020,2012-01-05
Vinh,19,16,13,S,3.6,88,73,1015,2013-01-05
Vinh,22,15,7,SSW,0.0,82,12,1015,2014-01-05
Vinh,27,21,7,SE,0.0,79,1,1010,2015-01-05
Vinh,25,18,9,SE,0.5,86,24,1015,2016-01-05
Vinh,23,20,7,W,1.2,88,80,1015,2017-01-05
Vinh,23,21,5,ESE,0.8,91,81,1013,2018-01-05
Vinh,22,19,6,S,0.5,84,93,1019,2019-01-05
Vinh,25,18,8,S,0.1,85,38,1016,2020-01-05
Vinh,18,16,9,SSW,0.7,82,91,1018,2021-01-05
Vinh,18,15,9,WNW,1.0,95,93,1017,2009-01-04
Vinh,26,20,6,SSE,0.1,87,36,1011,2010-01-04
Vinh,18,17,16,NNE,6.1,92,85,1017,2011-01-04
Vinh,17,14,20,NNE,12.0,91,92,1020,2012-01-04
Vinh,18,16,15,SW,5.8,88,83,1017,2013-01-04
Vinh,20,17,8,ENE,1.7,85,39,1018,2014-01-04
Vinh,24,16,9,SSE,0.0,84,10,1013,2015-01-04
Vinh,20,18,10,SSE,0.6,89,50,1016,2016-01-04
Vinh,22,19,7,WSW,0.2,88,69,1016,2017-01-04
Vinh,23,20,6,WSW,0.5,91,87,1014,2018-01-04
Vinh,20,17,8,NW,1.6,81,99,1021,2019-01-04
Vinh,25,19,6,SE,0.9,85,53,1017,2020-01-04
Vinh,20,16,8,SSW,2.2,75,75,1019,2021-01-04
Vinh,22,17,8,SW,0.9,92,57,1017,2009-01-06
Vinh,27,20,12,E,5.5,91,47,1014,2010-01-06
Vinh,18,16,18,ENE,8.5,92,85,1019,2011-01-06
Vinh,18,15,11,NNE,3.1,90,75,1021,2012-01-06
Vinh,18,17,15,NNE,6.6,88,77,1017,2013-01-06
Vinh,24,17,9,SE,0.0,86,18,1013,2014-01-06
Vinh,26,20,6,SE,0.3,88,28,1012,2015-01-06
Vinh,25,21,6,SSE,0.4,89,31,1016,2016-01-06
Vinh,23,20,4,SSW,0.0,84,51,1014,2017-01-06
Vinh,25,21,6,E,0.3,91,79,1011,2018-01-06
Vinh,21,21,8,SE,4.9,91,99,1019,2019-01-06
Vinh,25,20,7,S,0.0,85,32,1016,2020-01-06
Vinh,18,17,10,NE,3.9,88,99,1017,2021-01-06
Vinh,15,14,15,SE,8.6,88,99,1022,2009-01-02
Vinh,23,21,8,ENE,3.2,95,92,1014,2010-01-02
Vinh,22,18,5,S,1.7,89,79,1014,2011-01-02
Vinh,20,17,9,W,2.0,91,81,1018,2012-01-02
Vinh,22,15,7,SSE,0.1,84,56,1016,2013-01-02
Vinh,21,16,6,ESE,0.0,77,1,1014,2014-01-02
Vinh,19,14,10,WSW,1.4,79,48,1021,2015-01-02
Vinh,22,18,8,SSW,3.6,85,83,1021,2016-01-02
Vinh,21,18,9,NNW,3.0,90,96,1019,2017-01-02
Vinh,21,18,5,WSW,0.7,89,83,1016,2018-01-02
Vinh,15,14,13,NW,1.2,78,95,1024,2019-01-02
Vinh,23,18,7,SSW,2.2,92,83,1021,2020-01-02
Vinh,18,12,9,SSW,0.0,69,45,1020,2021-01-02
Vinh,16,15,16,NNE,7.8,93,100,1023,2009-01-08
Vinh,17,17,12,SE,21.2,93,98,1018,2010-01-08
Vinh,17,14,12,SSE,4.2,87,75,1018,2011-01-08
Vinh,18,16,13,NNE,5.3,91,78,1021,2012-01-08
Vinh,21,18,12,SSE,2.9,88,73,1015,2013-01-08
Vinh,23,19,9,ENE,1.2,91,55,1015,2014-01-08
Vinh,18,17,19,NNE,14.6,91,99,1021,2015-01-08
Vinh,25,21,7,S,0.6,86,50,1017,2016-01-08
Vinh,24,20,4,S,0.2,88,56,1012,2017-01-08
Vinh,30,17,14,ESE,8.7,84,37,1012,2018-01-08
Vinh,26,21,7,S,2.5,85,68,1017,2019-01-08
Vinh,26,21,7,ESE,2.1,86,76,1015,2020-01-08
Vinh,14,10,18,WSW,11.4,84,100,1021,2021-01-08
Vinh,15,11,16,S,7.3,83,61,1026,2009-01-09
Vinh,25,16,8,SSE,0.0,88,28,1014,2010-01-09
Vinh,17,14,17,S,9.3,91,89,1018,2011-01-09
Vinh,19,17,13,SE,3.2,88,72,1019,2012-01-09
Vinh,17,14,18,NE,6.1,83,81,1018,2013-01-09
Vinh,18,17,17,NNE,6.6,90,83,1019,2014-01-09
Vinh,17,17,18,NNE,9.6,90,98,1021,2015-01-09
Vinh,25,21,8,SSE,2.8,87,36,1015,2016-01-09
Vinh,22,21,5,WSW,1.9,93,82,1013,2017-01-09
Vinh,14,13,18,E,4.2,82,100,1021,2018-01-09
Vinh,22,18,11,W,7.1,90,99,1018,2019-01-09
Vinh,25,21,7,SSE,0.0,85,27,1014,2020-01-09
Vinh,13,10,13,WSW,0.4,63,92,1022,2021-01-09
Vinh,18,10,8,SE,0.0,71,5,1022,2009-01-11
Vinh,21,17,13,NNE,9.5,94,79,1016,2010-01-11
Vinh,15,11,17,SE,6.6,87,84,1017,2011-01-11
Vinh,18,17,15,ENE,5.0,88,96,1021,2012-01-11
Vinh,16,15,13,NW,3.6,81,80,1018,2013-01-11
Vinh,22,16,7,S,1.4,90,68,1019,2014-01-11
Vinh,14,13,16,NNW,10.9,90,93,1021,2015-01-11
Vinh,24,20,14,SE,1.4,85,37,1014,2016-01-11
Vinh,25,21,9,SSE,0.5,92,79,1012,2017-01-11
Vinh,16,13,14,WNW,0.2,58,86,1024,2018-01-11
Vinh,24,20,6,SW,0.2,87,80,1017,2019-01-11
Vinh,25,20,6,S,0.0,84,34,1012,2020-01-11
Vinh,13,11,20,WSW,3.3,59,61,1026,2021-01-11
Vinh,19,17,14,ENE,15.6,94,96,1020,2009-01-07
Vinh,22,18,12,SSE,7.1,94,97,1017,2010-01-07
Vinh,15,15,17,ENE,7.3,88,84,1021,2011-01-07
Vinh,22,17,10,ESE,3.2,89,66,1018,2012-01-07
Vinh,20,17,12,ESE,3.2,86,74,1016,2013-01-07
Vinh,26,20,7,SE,0.0,83,2,1012,2014-01-07
Vinh,22,19,14,NE,13.7,93,89,1016,2015-01-07
Vinh,25,21,8,S,1.0,87,51,1018,2016-01-07
Vinh,24,20,5,SSW,0.0,86,33,1012,2017-01-07
Vinh,27,22,7,ESE,0.1,89,44,1010,2018-01-07
Vinh,23,21,4,SW,3.1,91,91,1018,2019-01-07
Vinh,26,20,6,S,0.0,86,38,1014,2020-01-07
Vinh,18,16,16,SE,9.1,90,99,1017,2021-01-07
Vinh,19,12,12,ENE,0.0,73,7,1025,2009-01-12
Vinh,16,13,18,SE,10.7,92,100,1022,2010-01-12
Vinh,15,10,10,SW,2.0,78,60,1017,2011-01-12
Vinh,17,16,13,S,4.4,89,91,1020,2012-01-12
Vinh,16,13,12,W,2.7,77,71,1019,2013-01-12
Vinh,19,18,16,NE,10.9,91,85,1021,2014-01-12
Vinh,18,14,15,S,0.5,76,63,1022,2015-01-12
Vinh,20,20,13,NE,4.3,91,95,1016,2016-01-12
Vinh,24,16,15,SSE,3.1,93,93,1012,2017-01-12
Vinh,17,14,8,NNW,0.2,60,96,1024,2018-01-12
Vinh,25,21,7,S,1.8,86,71,1017,2019-01-12
Vinh,22,17,12,ENE,7.2,88,76,1014,2020-01-12
Vinh,16,10,14,SW,0.0,51,27,1025,2021-01-12
Vinh,17,12,11,NNE,0.3,77,30,1027,2009-01-14
Vinh,18,11,10,WSW,1.6,86,78,1023,2010-01-14
Vinh,20,14,7,SSE,0.8,86,63,1016,2011-01-14
Vinh,22,17,7,SSW,0.2,90,66,1012,2012-01-14
Vinh,21,15,6,SSW,1.2,86,68,1016,2013-01-14
Vinh,17,12,14,S,1.4,69,28,1023,2014-01-14
Vinh,18,13,7,ESE,0.1,74,11,1022,2015-01-14
Vinh,23,20,7,S,2.4,93,88,1014,2016-01-14
Vinh,19,16,10,S,0.7,85,83,1016,2017-01-14
Vinh,19,15,8,NW,2.4,83,95,1019,2018-01-14
Vinh,26,21,9,SSE,0.5,83,30,1015,2019-01-14
Vinh,24,20,8,S,0.3,87,65,1013,2020-01-14
Vinh,19,12,8,SSW,0.0,71,35,1016,2021-01-14
Vinh,18,11,11,ESE,0.0,71,9,1025,2009-01-15
Vinh,22,14,8,SE,0.5,88,58,1021,2010-01-15
Vinh,16,14,17,SW,9.3,80,70,1021,2011-01-15
Vinh,25,19,6,E,0.0,89,40,1009,2012-01-15
Vinh,22,18,5,SSW,1.1,87,73,1017,2013-01-15
Vinh,18,12,9,ENE,0.5,71,15,1023,2014-01-15
Vinh,18,14,5,SSW,0.0,76,8,1021,2015-01-15
Vinh,22,20,13,ESE,0.6,92,82,1012,2016-01-15
Vinh,19,18,12,SE,1.3,89,87,1017,2017-01-15
