province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Vung Tau,28,24,16,ENE,7.8,84,45,1010,2009-01-01
Vung Tau,30,25,16,ENE,0.0,63,17,1010,2010-01-01
Vung Tau,27,25,13,E,0.0,75,27,1008,2011-01-01
Vung Tau,29,24,26,E,0.0,79,24,1012,2012-01-01
Vung Tau,31,26,17,ENE,0.0,69,15,1010,2013-01-01
Vung Tau,27,23,13,E,0.0,77,33,1012,2014-01-01
Vung Tau,30,24,12,E,0.2,74,37,1012,2015-01-01
Vung Tau,29,24,18,ENE,0.0,67,8,1015,2016-01-01
Vung Tau,29,25,20,ENE,0.2,74,16,1011,2017-01-01
Vung Tau,28,24,24,ENE,0.0,68,18,1010,2018-01-01
Vung Tau,27,24,19,ESE,11.7,74,68,1013,2019-01-01
Vung Tau,28,24,26,ENE,0.0,68,9,1014,2020-01-01
Vung Tau,26,21,10,S,0.0,74,47,1011,2021-01-01
Vung Tau,23,22,9,S,20.5,91,72,1011,2009-01-03
Vung Tau,30,26,16,E,0.8,70,40,1010,2010-01-03
Vung Tau,29,24,12,E,0.3,75,40,1009,2011-01-03
Vung Tau,28,24,19,E,0.0,76,16,1012,2012-01-03
Vung Tau,31,25,18,E,0.5,73,31,1011,2013-01-03
Vung Tau,29,23,10,E,0.0,80,22,1012,2014-01-03
Vung Tau,31,23,5,SSE,0.1,72,33,1012,2015-01-03
Vung Tau,29,26,16,E,2.2,77,36,1014,2016-01-03
Vung Tau,29,25,24,ENE,0.0,71,25,1010,2017-01-03
Vung Tau,28,25,13,E,0.0,76,17,1009,2018-01-03
Vung Tau,28,25,44,ENE,4.0,78,55,1013,2019-01-03
Vung Tau,28,25,30,ENE,0.0,73,7,1013,2020-01-03
Vung Tau,27,25,15,ENE,0.1,78,53,1010,2021-01-03
Vung Tau,27,23,13,NE,0.2,82,51,1011,2009-01-02
Vung Tau,29,25,16,ENE,0.1,67,45,1010,2010-01-02
Vung Tau,29,24,16,ENE,0.0,71,10,1009,2011-01-02
Vung Tau,28,24,24,E,0.0,78,17,1012,2012-01-02
Vung Tau,30,25,16,E,0.0,70,26,1010,2013-01-02
Vung Tau,27,23,14,E,0.0,78,49,1012,2014-01-02
Vung Tau,27,23,5,ESE,1.0,79,44,1013,2015-01-02
Vung Tau,29,25,12,ESE,1.7,72,32,1014,2016-01-02
Vung Tau,29,25,23,ENE,0.3,73,14,1011,2017-01-02
Vung Tau,28,24,16,E,0.0,70,9,1009,2018-01-02
Vung Tau,26,24,29,NNE,16.3,82,80,1012,2019-01-02
Vung Tau,28,25,28,ENE,0.0,73,6,1014,2020-01-02
Vung Tau,26,20,8,S,0.1,76,52,1010,2021-01-02
Vung Tau,27,22,7,NE,0.2,84,32,1011,2009-01-04
Vung Tau,31,25,18,E,0.0,67,39,1010,2010-01-04
Vung Tau,28,24,13,ENE,1.3,81,81,1009,2011-01-04
Vung Tau,28,23,18,E,0.0,76,7,1013,2012-01-04
Vung Tau,32,25,12,E,0.0,72,19,1009,2013-01-04
Vung Tau,30,23,13,E,3.0,79,40,1011,2014-01-04
Vung Tau,29,24,12,ENE,0.5,78,42,1010,2015-01-04
Vung Tau,28,25,13,E,2.4,77,51,1012,2016-01-04
Vung Tau,28,25,19,ENE,3.8,75,25,1009,2017-01-04
Vung Tau,29,25,9,SSW,0.0,79,33,1008,2018-01-04
Vung Tau,29,26,40,E,1.2,79,31,1014,2019-01-04
Vung Tau,27,24,21,E,0.0,74,22,1012,2020-01-04
Vung Tau,27,25,15,SE,0.6,79,47,1010,2021-01-04
Vung Tau,31,22,9,ENE,0.3,69,21,1014,2009-01-09
Vung Tau,29,25,15,E,0.1,69,33,1012,2010-01-09
